service,date_calculated,total_spend,YYYY,MM
FIRE & RESCUE,2012-06-01,285912.26,2012,6
FIRE & RESCUE,2014-06-01,82299.44,2014,6
ENVIRONMENT TRANSPORT & DEVELOPMENT,2012-06-01,9307477.8,2012,6
FIRE & RESCUE,2014-07-01,191887.96,2014,7
OTHER INC AGENCY,2011-11-01,57.98,2011,11
(No data),2014-06-01,51663.04,2014,6
RESOURCES - PENSIONS,2012-12-01,131520.29,2012,12
ENVIRONMENT TRANSPORT & DEVELOPMENT,2011-01-01,7938389.07,2011,1
(No data),2014-07-01,23201,2014,7
FIRE & RESCUE,2011-01-01,266663.72,2011,1
RESOURCES,2011-08-01,1408052.54,2011,8
(No data),2012-06-01,63961.29,2012,6
COMMUNITY SERVICES,2014-03-01,3037542.68000001,2014,3
CHILDREN'S SERVICES,2014-03-01,1327156.68,2014,3
OTHER INC AGENCY,2012-07-01,3000,2012,7
CHILDREN'S SERVICES,2011-04-01,10580235.8,2011,4
COMMUNITY SERVICES,2011-04-01,12943711.5199999,2011,4
OTHER INC AGENCY,2014-10-01,19323.72,2014,10
OTHER INC AGENCY,2012-11-01,528.25,2012,11
RESOURCES - PENSIONS,2014-11-01,5219.03,2014,11
CHILDREN'S SERVICES,2013-06-01,761486.97,2013,6
COMMUNITY SERVICES,2013-06-01,3473719.39000001,2013,6
ENVIRONMENT TRANSPORT & DEVELOPMENT,2013-06-01,642061.49,2013,6
FIRE & RESCUE,2013-06-01,24141.92,2013,6
(No data),2013-06-01,60881.04,2013,6
(No data),2011-04-01,8739.91,2011,4
OTHER INC AGENCY,2013-01-01,4439.86,2013,1
ENVIRONMENT TRANSPORT & DEVELOPMENT,2011-04-01,10777053.51,2011,4
FIRE & RESCUE,2011-04-01,513543.17,2011,4
ENVIRONMENT TRANSPORT & DEVELOPMENT,2012-07-01,12043476.8,2012,7
FIRE & RESCUE,2012-07-01,515574.57,2012,7
(No data),2012-07-01,62739.07,2012,7
RESOURCES,2013-03-01,2535527.56,2013,3
(No data),2011-11-01,122662.08,2011,11
OTHER INC AGENCY,2011-01-01,64317.62,2011,1
RESOURCES,2013-09-01,143591.38,2013,9
ENVIRONMENT TRANSPORT & DEVELOPMENT,2011-11-01,9616433.60000002,2011,11
RESOURCES,2013-04-01,172689.32,2013,4
OTHER INC AGENCY,2012-06-01,122.09,2012,6
FIRE & RESCUE,2011-11-01,617146.12,2011,11
RESOURCES,2013-05-01,152685.95,2013,5
OTHER INC AGENCY,2014-07-01,53.91,2014,7
CHILDREN'S SERVICES,2011-11-01,7440487.03,2011,11
COMMUNITY SERVICES,2011-11-01,11534721.1,2011,11
RESOURCES,2014-08-01,74148.8,2014,8
CHILDREN'S SERVICES,2012-07-01,5150503.37,2012,7
OTHER INC AGENCY,2014-03-01,3612.34,2014,3
COMMUNITY SERVICES,2012-07-01,9403879.54000001,2012,7
(No data),2013-01-01,32343.9,2013,1
OTHER INC AGENCY,2011-04-01,20330,2011,4
ENVIRONMENT TRANSPORT & DEVELOPMENT,2013-01-01,13825314.66,2013,1
FIRE & RESCUE,2013-01-01,390843.2,2013,1
COMMUNITY SERVICES,2014-10-01,30173478.8000007,2014,10
COMMUNITY SERVICES,2012-11-01,14718975.0700002,2012,11
CHILDREN'S SERVICES,2014-10-01,8219557.27999997,2014,10
CHILDREN'S SERVICES,2012-11-01,5786997.00999999,2012,11
OTHER INC AGENCY,2013-06-01,1360,2013,6
(No data),2014-10-01,1356805.01,2014,10
(No data),2012-11-01,200666.23,2012,11
FIRE & RESCUE,2014-10-01,324235.35,2014,10
FIRE & RESCUE,2012-11-01,602705.07,2012,11
RESOURCES,2013-12-01,155946.58,2013,12
ENVIRONMENT TRANSPORT & DEVELOPMENT,2014-10-01,12227356.43,2014,10
ENVIRONMENT TRANSPORT & DEVELOPMENT,2012-11-01,10267517.21,2012,11
CHILDREN'S SERVICES,2013-01-01,5119502.17,2013,1
COMMUNITY SERVICES,2013-01-01,8772206.07999999,2013,1
OTHER INC AGENCY,2012-10-01,5258.4,2012,10
RESOURCES,2011-06-01,7182900.43,2011,6
(No data),2012-01-01,121206.18,2012,1
COMMUNITY SERVICES,2011-02-01,9672753.72999995,2011,2
FIRE & RESCUE,2012-01-01,926941.449999999,2012,1
CHILDREN'S SERVICES,2011-02-01,5991000.02999999,2011,2
ENVIRONMENT TRANSPORT & DEVELOPMENT,2012-01-01,8371563.56,2012,1
OTHER INC AGENCY,2011-10-01,573.7,2011,10
COMMUNITY SERVICES,2013-10-01,6611535.75000008,2013,10
COMMUNITY SERVICES,2014-04-01,3772343.00000001,2014,4
CHILDREN'S SERVICES,2012-08-01,6726213.95999997,2012,8
COMMUNITY SERVICES,2012-08-01,9222005.32,2012,8
CHILDREN'S SERVICES,2014-04-01,665698.36,2014,4
CHILDREN'S SERVICES,2013-10-01,959183.01,2013,10
FIRE & RESCUE,2013-10-01,55698.17,2013,10
FIRE & RESCUE,2014-04-01,284935.22,2014,4
ENVIRONMENT TRANSPORT & DEVELOPMENT,2012-08-01,12023619.32,2012,8
FIRE & RESCUE,2012-08-01,204603.11,2012,8
OTHER INC AGENCY,2014-11-01,10711.38,2014,11
ENVIRONMENT TRANSPORT & DEVELOPMENT,2013-10-01,3191795.2,2013,10
ENVIRONMENT TRANSPORT & DEVELOPMENT,2014-04-01,346767.65,2014,4
(No data),2012-08-01,248452.7,2012,8
OTHER INC AGENCY,2013-08-01,8270,2013,8
(No data),2013-10-01,196587.7,2013,10
RESOURCES - PENSIONS,2014-10-01,1021.65,2014,10
(No data),2014-04-01,19564.08,2014,4
FIRE & RESCUE,2011-02-01,265386.82,2011,2
COMMUNITY SERVICES,2012-01-01,9370734.89,2012,1
CHILDREN'S SERVICES,2012-01-01,6424423.68000001,2012,1
ENVIRONMENT TRANSPORT & DEVELOPMENT,2011-02-01,9630947.97999999,2011,2
(No data),2011-02-01,2243.8,2011,2
RESOURCES,2011-12-01,6922026.32,2011,12
RESOURCES,2013-11-01,308287.8,2013,11
OTHER INC AGENCY,2012-04-01,11560,2012,4
(No data),2012-05-01,85407.41,2012,5
RESOURCES,2013-02-01,645419.02,2013,2
OTHER INC AGENCY,2012-12-01,6403.4,2012,12
(No data),2014-02-01,257045.83,2014,2
ENVIRONMENT TRANSPORT & DEVELOPMENT,2012-05-01,10954386.22,2012,5
FIRE & RESCUE,2014-02-01,55253.36,2014,2
ENVIRONMENT TRANSPORT & DEVELOPMENT,2014-02-01,562856.22,2014,2
FIRE & RESCUE,2012-05-01,280139.59,2012,5
CHILDREN'S SERVICES,2012-05-01,6385920.67999999,2012,5
COMMUNITY SERVICES,2014-02-01,3472097.44000002,2014,2
COMMUNITY SERVICES,2012-05-01,9413209.11999999,2012,5
CHILDREN'S SERVICES,2014-02-01,1478978.55,2014,2
RESOURCES,2012-02-01,1446208.69,2012,2
RESOURCES,2014-01-01,472664.79,2014,1
RESOURCES,2011-03-01,7162020.05,2011,3
COMMUNITY SERVICES,2012-10-01,8334894.13999997,2012,10
ENVIRONMENT TRANSPORT & DEVELOPMENT,2011-05-01,14335556.08,2011,5
CHILDREN'S SERVICES,2012-10-01,7091528.24999999,2012,10
FIRE & RESCUE,2011-05-01,368712.01,2011,5
OTHER INC AGENCY,2011-02-01,39330,2011,2
(No data),2011-05-01,40177,2011,5
RESOURCES,2011-09-01,1365259.1,2011,9
COMMUNITY SERVICES,2011-10-01,11180327.78,2011,10
(No data),2014-11-01,730413.17,2014,11
FIRE & RESCUE,2013-08-01,29683.81,2013,8
ENVIRONMENT TRANSPORT & DEVELOPMENT,2013-08-01,636507.01,2013,8
CHILDREN'S SERVICES,2011-10-01,8153932.55,2011,10
OTHER INC AGENCY,2013-10-01,2593.65,2013,10
ENVIRONMENT TRANSPORT & DEVELOPMENT,2014-11-01,10269091.68,2014,11
OTHER INC AGENCY,2012-08-01,8401.42,2012,8
FIRE & RESCUE,2014-11-01,411434.66,2014,11
ENVIRONMENT TRANSPORT & DEVELOPMENT,2014-12-01,510.21,2014,12
(No data),2013-08-01,282551.62,2013,8
RESOURCES - PENSIONS,2013-06-01,150547.97,2013,6
CHILDREN'S SERVICES,2014-11-01,8672414.60999999,2014,11
(No data),2011-10-01,71986.68,2011,10
COMMUNITY SERVICES,2014-11-01,17100983.8499997,2014,11
RESOURCES,2014-05-01,20440.35,2014,5
FIRE & RESCUE,2011-10-01,540091.76,2011,10
COMMUNITY SERVICES,2013-08-01,3908899.82000004,2013,8
CHILDREN'S SERVICES,2013-08-01,1864461.26,2013,8
ENVIRONMENT TRANSPORT & DEVELOPMENT,2011-10-01,10506885.32,2011,10
(No data),2012-10-01,29256.14,2012,10
FIRE & RESCUE,2012-10-01,327430.46,2012,10
CHILDREN'S SERVICES,2011-05-01,8198074.30000001,2011,5
ENVIRONMENT TRANSPORT & DEVELOPMENT,2012-10-01,6957036.46999999,2012,10
COMMUNITY SERVICES,2011-05-01,9547113.68999994,2011,5
CHILDREN'S SERVICES,2012-04-01,6595051.33000001,2012,4
COMMUNITY SERVICES,2012-04-01,8661822.69999998,2012,4
RESOURCES - PENSIONS,2014-03-01,162546.58,2014,3
CHILDREN'S SERVICES,2012-12-01,8324992.69,2012,12
COMMUNITY SERVICES,2012-12-01,8597822.73999997,2012,12
RESOURCES,2013-07-01,160304.35,2013,7
RESOURCES,2014-12-01,15235962.04,2014,12
RESOURCES - PENSIONS,2014-06-01,160529.24,2014,6
(No data),2012-12-01,69492.98,2012,12
OTHER INC AGENCY,2014-02-01,1123.3,2014,2
OTHER INC AGENCY,2012-05-01,7618.54,2012,5
RESOURCES - PENSIONS,2012-06-01,129073.88,2012,6
ENVIRONMENT TRANSPORT & DEVELOPMENT,2012-12-01,12223069.18,2012,12
RESOURCES,2012-09-01,1451354.61,2012,9
FIRE & RESCUE,2012-12-01,79493.09,2012,12
RESOURCES,2011-07-01,1657398.76,2011,7
(No data),2012-04-01,280871.64,2012,4
ENVIRONMENT TRANSPORT & DEVELOPMENT,2012-04-01,8545907.51999999,2012,4
FIRE & RESCUE,2012-04-01,219489.37,2012,4
