Organisation name,Organisation Code,Effective Date,Contract Reference number / ID,Open Contracting ID,Title of the Agreement,Contract type,Directorate / service responsible,Service Category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: CPV label,Procurement classification: CPV code,Procurement classification: Proclass label,Procurement classification: Proclass code,Contract start date,End date,Review date,Last extension date,Contract value,Fixed cost / estimated cost,Irrecoverable VAT,Supplier name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME supplier,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL,Tender process type,Tender document URL,Contract document URL,Performance information URL,Location service label,Location served URI
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44039,,"Thurlton to New Eccles Hall School, Quidenham ",Framework agreement,CHILDREN,,,"Thurlton to New Eccles Hall School, Quidenham ",Passenger transport.Education  Special Needs,,,,,04/09/2014,10/07/2015,10/07/2015,31/07/2016,"32,607.12",Estimated Cost,,ABLE TAXIS LIMITED,,,80467,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AQN44831,,Fersfield to Kenninghall Primary School ,Single award contract,CHILDREN,,,Fersfield to Kenninghall Primary School ,Passenger transport.Education Mainstream,,,,,01/12/2014,31/07/2017,31/07/2017,31/07/2017,"13,675.32",Estimated Cost,,ABLE TAXIS LIMITED,,,80467,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,APN43837,,Salhouse/Wroxham to Paston College (purchase of season tickets) ,Single award contract,CHILDREN,,,Salhouse/Wroxham to Paston College (purchase of season tickets) ,Passenger transport.Education Post 16,,,,,01/09/2014,31/07/2015,31/07/2015,31/07/2016,"10,879.50",Estimated Cost,,Abellio Greater Anglia Ltd,,,780751,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,APN44041,,Diss to Norwich schools and colleges. Purchase of season tickets ,Single award contract,CHILDREN,,,Diss to Norwich schools and colleges. Purchase of season tickets ,Passenger transport.Education Post 16,,,,,01/09/2014,31/07/2017,31/07/2017,31/07/2017,"30,739.40",Estimated Cost,,Abellio Greater Anglia Ltd,,,780751,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,APN44042,,Thetford to Norwich Schools and colleges. Purchase of season tickets for ,Single award contract,CHILDREN,,,Thetford to Norwich Schools and colleges. Purchase of season tickets for ,Passenger transport.Education Post 16,,,,,01/09/2014,31/07/2015,31/07/2015,31/07/2015,"46,178.43",Estimated Cost,,Abellio Greater Anglia Ltd,,,780751,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AQN45147,,IP24 to Hamlet Centre ,Single award contract,COMMUNITY SERVICES,,,IP24 to Hamlet Centre ,Passenger transport.Adult Social Care,,,,,11/07/2011,31/08/2015,31/08/2015,31/08/2015,"62,965.48",Estimated Cost,,Goldstar,,,468320,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,IP24 to Laburnum Grove ,Single award contract,COMMUNITY SERVICES,,,IP24 to Laburnum Grove ,Passenger transport.Adult Social Care,,,,,20/12/2012,31/08/2015,31/08/2015,31/12/2018,"1,833.99",Estimated Cost,,Goldstar,,,468320,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,Thetford to Wymondham High Academy ,Single award contract,CHILDREN,,,Thetford to Wymondham High Academy ,Passenger transport.Education  Special Needs,,,,,08/09/2014,31/07/2015,31/07/2015,31/07/2015,"11,878.90",Estimated Cost,,Goldstar,,,468320,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,Thetford to Thetford Academy ,Single award contract,CHILDREN,,,Thetford to Thetford Academy ,Passenger transport.Education Mainstream,,,,,06/10/2014,31/07/2015,31/07/2015,31/07/2015,"7,911.29",Estimated Cost,,Goldstar,,,468320,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44833,,Thetford to Attleborough Academy SRB ,Framework agreement,CHILDREN,,,Thetford to Attleborough Academy SRB ,Passenger transport.Education  Special Needs,,,,,03/11/2014,21/05/2015,21/05/2015,31/07/2015,"2,810.96",Estimated Cost,,Goldstar,,,468320,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,ALN34467,,Aldborough Community Bus Concessionary fare reimbursement,Other,ETD,,,Aldborough Community Bus Concessionary fare reimbursement,Passenger transport.Concessionary Fares,,,,,01/08/2011,31/12/2050,31/12/2050,31/12/2050,0.00,Estimated Cost,,Aldborough Community Bus,,,JOURNAL,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,ALN34468,,Aldborough Community Bus Concessionary fare reimbursement - adjustments,Other,ETD,,,Aldborough Community Bus Concessionary fare reimbursement - adjustments,Passenger transport.Concessionary Fares,,,,,01/08/2011,31/12/2050,31/12/2050,31/12/2050,0.00,Estimated Cost,,Aldborough Community Bus,,,JOURNAL,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44043,,"Honingham to On Track, Mildenhall ",Framework agreement,CHILDREN,,,"Honingham to On Track, Mildenhall ",Passenger transport.Education  Special Needs,,,,,04/09/2014,31/07/2018,31/07/2018,31/07/2018,"69,330.95",Estimated Cost,,Andys Taxis,,,1177884,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"Cromer, Mundesley and Stratton Strawless to Future Education, Norwich ",Framework agreement,CHILDREN,,,"Cromer, Mundesley and Stratton Strawless to Future Education, Norwich ",Passenger transport.Education  Special Needs,,,,,22/09/2014,21/07/2015,21/07/2015,31/07/2019,"147,669.04",Estimated Cost,,Airport Taxi Express,,,1357778,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"North Walsham and Salhouse to Pathways College, Norwich ",Framework agreement,CHILDREN,,,"North Walsham and Salhouse to Pathways College, Norwich ",Passenger transport.Education  Special Needs,,,,,06/10/2014,21/07/2015,21/07/2015,31/07/2019,"69,588.93",Estimated Cost,,Airport Taxi Express,,,1357778,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR14, NR17 to Onward Enterprises, Harleston ",Single award contract,COMMUNITY SERVICES,,,"NR14, NR17 to Onward Enterprises, Harleston ",Passenger transport.Adult Social Care,,,,,01/10/2013,30/11/2015,30/11/2015,30/11/2015,"18,916.71",Estimated Cost,,Arrive in Style,,,179670,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,Diss to Norwich Day Centres ,Single award contract,COMMUNITY SERVICES,,,Diss to Norwich Day Centres ,Passenger transport.Adult Social Care,,,,,01/10/2014,31/10/2016,31/10/2016,31/10/2016,"35,097.74",Estimated Cost,,Arrive in Style,,,179670,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,Harleston and Diss to Norwich Day Centres ,Single award contract,COMMUNITY SERVICES,,,Harleston and Diss to Norwich Day Centres ,Passenger transport.Adult Social Care,,,,,01/10/2014,31/10/2016,31/10/2016,31/10/2016,"31,667.19",Estimated Cost,,Arrive in Style,,,179670,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR15, NR16 to Long Stratton Day Centre ",Single award contract,COMMUNITY SERVICES,,,"NR15, NR16 to Long Stratton Day Centre ",Passenger transport.Adult Social Care,,,,,04/11/2014,03/11/2017,03/11/2017,03/11/2017,"11,970.00",Estimated Cost,,Arrive in Style,,,179670,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR15, NR16 to Long Stratton Day Centre ",Single award contract,COMMUNITY SERVICES,,,"NR15, NR16 to Long Stratton Day Centre ",Passenger transport.Adult Social Care,,,,,06/11/2014,03/11/2017,03/11/2017,03/11/2017,"11,948.14",Estimated Cost,,Arrive in Style,,,179670,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,Diss to Dennyholme Centre ,Single award contract,COMMUNITY SERVICES,,,Diss to Dennyholme Centre ,Passenger transport.Adult Social Care,,,,,04/11/2014,03/11/2017,03/11/2017,03/11/2017,"13,680.00",Estimated Cost,,Arrive in Style,,,179670,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AQN45348,,"NR15, NR16, IP20 to Bickley Day Hospital, Attleborough - Monday ",Single award contract,COMMUNITY SERVICES,,,"NR15, NR16, IP20 to Bickley Day Hospital, Attleborough - Monday ",Passenger transport.Adult Social Care,,,,,26/01/2015,18/05/2015,18/05/2015,18/05/2015,932.82,Estimated Cost,,Arrive in Style,,,179670,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR16, NR17, NR18 to Bickley Day Hospital - Monday ",Single award contract,COMMUNITY SERVICES,,,"NR16, NR17, NR18 to Bickley Day Hospital - Monday ",Passenger transport.Adult Social Care,,,,,19/01/2015,18/05/2015,18/05/2015,18/05/2015,991.12,Estimated Cost,,Arrive in Style,,,179670,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,The Gateway Club to Thetford ,Single award contract,COMMUNITY SERVICES,,,The Gateway Club to Thetford ,Passenger transport.Adult Social Care,,,,,28/08/2013,31/08/2015,31/08/2015,31/08/2017,"3,048.33",Estimated Cost,,A J Taxis,,,592476,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44044,,"West Tofts and Lynford to Iceni Academy, Methwold and Mundford Primary School ",Framework agreement,CHILDREN,,,"West Tofts and Lynford to Iceni Academy, Methwold and Mundford Primary School ",Passenger transport.Education Mainstream,,,,,04/09/2014,31/07/2019,31/07/2019,31/07/2022,"109,255.15",Estimated Cost,,A J Taxis,,,592476,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44045,,"Thetford to Churchill Park Special School, King's Lynn ",Framework agreement,CHILDREN,,,"Thetford to Churchill Park Special School, King's Lynn ",Passenger transport.Education Mainstream,,,,,04/09/2014,31/07/2022,31/07/2022,31/07/2022,"98,645.23",Estimated Cost,,A J Taxis,,,592476,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AMN44834,,"Thetford to The Albany Centre, Bury St Edmunds ",Framework agreement,CHILDREN,,,"Thetford to The Albany Centre, Bury St Edmunds ",Passenger transport.Education  Special Needs,,,,,09/12/2014,30/06/2015,30/06/2015,30/06/2015,"10,302.95",Estimated Cost,,A J Taxis,,,592476,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AQN45171,,NR13 to Great Yarmouth ,Single award contract,COMMUNITY SERVICES,,,NR13 to Great Yarmouth ,Passenger transport.Adult Social Care,,,,,04/04/2012,31/12/2015,31/12/2015,31/12/2015,"18,682.39",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AQN45186,,Florence Residential Home to St Pauls Church ,Single award contract,COMMUNITY SERVICES,,,Florence Residential Home to St Pauls Church ,Passenger transport.Adult Social Care,,,,,07/09/2012,31/12/2015,31/12/2015,31/12/2015,629.86,Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AQN45187,,NR30 to Great Yarmouth College Day Services ,Single award contract,COMMUNITY SERVICES,,,NR30 to Great Yarmouth College Day Services ,Passenger transport.Adult Social Care,,,,,11/09/2012,31/07/2015,31/07/2015,31/07/2015,"6,577.64",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"Norwich to Croft Riding Stables, Filby ",Single award contract,COMMUNITY SERVICES,,,"Norwich to Croft Riding Stables, Filby ",Passenger transport.Adult Social Care,,,,,29/06/2013,31/07/2015,31/07/2015,31/07/2015,"4,759.89",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR12 To Great Yarmouth Day Centre ,Single award contract,COMMUNITY SERVICES,,,NR12 To Great Yarmouth Day Centre ,Passenger transport.Adult Social Care,,,,,02/09/2013,31/07/2015,31/07/2015,31/07/2015,"10,884.66",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AQN45498,,"NR14 to Brambles, Bungay - Monday, Tuesday, Thursday ",Single award contract,COMMUNITY SERVICES,,,"NR14 to Brambles, Bungay - Monday, Tuesday, Thursday ",Passenger transport.Adult Social Care,,,,,12/09/2013,31/03/2015,31/03/2015,31/03/2015,"7,058.63",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,Norwich to Marion Road Day Centre ,Framework agreement,COMMUNITY SERVICES,,,Norwich to Marion Road Day Centre ,Passenger transport.Adult Social Care,,,,,24/11/2014,23/11/2018,23/11/2018,18/11/2022,"431,088.66",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,Great Yarmouth to Great Yarmouth Vets ,Single award contract,COMMUNITY SERVICES,,,Great Yarmouth to Great Yarmouth Vets ,Passenger transport.Adult Social Care,,,,,10/11/2014,30/11/2015,30/11/2015,30/11/2015,"6,413.15",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AQN45350,,"Chedgrave to Brambles Farm Monday, Tuesday, Thursday ",Single award contract,COMMUNITY SERVICES,,,"Chedgrave to Brambles Farm Monday, Tuesday, Thursday ",Passenger transport.Adult Social Care,,,,,03/02/2015,30/06/2015,30/06/2015,03/07/2015,"3,513.70",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AON33056,,"Fritton to John Grant Special School, Caister ",Single award contract,CHILDREN,,,"Fritton to John Grant Special School, Caister ",Passenger transport.Education  Special Needs,,,,,06/09/2010,31/07/2015,31/07/2015,05/09/2018,"117,490.62",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to tender,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AON33057,,"Bradwell and Gorleston to Caister, John Grant Special School ",Single award contract,CHILDREN,,,"Bradwell and Gorleston to Caister, John Grant Special School ",Passenger transport.Education  Special Needs,,,,,06/09/2010,31/07/2015,31/07/2015,05/09/2018,"335,624.50",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to tender,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AON33058,,"Gorleston - Caister, John Grant Special School ",Single award contract,CHILDREN,,,"Gorleston - Caister, John Grant Special School ",Passenger transport.Education  Special Needs,,,,,06/09/2010,31/07/2015,31/07/2015,05/09/2018,"302,066.61",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to tender,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AON33059,,"Thurton, Loddon, Belton, Gorleston to Caister, John Grant Special School ",Single award contract,CHILDREN,,,"Thurton, Loddon, Belton, Gorleston to Caister, John Grant Special School ",Passenger transport.Education  Special Needs,,,,,06/09/2010,31/07/2015,31/07/2015,05/09/2018,"246,902.13",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to tender,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AON33061,,Gt Yarmouth area to Sidestrand Hall Special school ,Single award contract,CHILDREN,,,Gt Yarmouth area to Sidestrand Hall Special school ,Passenger transport.Education  Special Needs,,,,,01/09/2010,31/07/2015,31/07/2015,31/07/2018,"732,424.18",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to tender,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AQN33063,,Acle Straight to Freethorpe Primary School ,Single award contract,CHILDREN,,,Acle Straight to Freethorpe Primary School ,Passenger transport.Education Mainstream,,,,,01/09/2010,31/07/2015,31/07/2015,31/07/2015,"33,619.07",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AON33064,,"Bus 5 Little Plumstead and Rackheath to Norwich, The Hall School. Including respite journeys to Sprowston, Foxwood ",Single award contract,CHILDREN,,,"Bus 5 Little Plumstead and Rackheath to Norwich, The Hall School. Including respite journeys to Sprowston, Foxwood ",Passenger transport.Education  Special Needs,,,,,26/04/2011,03/04/2015,03/04/2015,03/04/2015,"173,528.38",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to tender,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AON33065,,"BUS 8 CS12-Norton Subcourse, Rockland St Mary and Surlingham to Norwich, The Clare School ",Single award contract,CHILDREN,,,"BUS 8 CS12-Norton Subcourse, Rockland St Mary and Surlingham to Norwich, The Clare School ",Passenger transport.Education  Special Needs,,,,,26/04/2011,25/03/2016,25/03/2016,18/04/2019,"241,456.44",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to tender,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AQN33066,,"Acle Straight, Ranworth, Sth Walsham and North Burlingham to Acle High School ",Single award contract,CHILDREN,,,"Acle Straight, Ranworth, Sth Walsham and North Burlingham to Acle High School ",Passenger transport.Education Mainstream,,,,,26/04/2011,31/07/2015,31/07/2015,31/07/2015,"44,577.12",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AON33067,,"Vehicle 1. Fleggburgh & Ormesby (Nelson Lodge) Vehicle 2. Haddiscoe, Belton & Yarmouth to Caister, John Grant Special School.(see memo) ",Single award contract,CHILDREN,,,"Vehicle 1. Fleggburgh & Ormesby (Nelson Lodge) Vehicle 2. Haddiscoe, Belton & Yarmouth to Caister, John Grant Special School.(see memo) ",Passenger transport.Education  Special Needs,,,,,07/09/2011,31/07/2015,31/07/2015,31/07/2019,"306,257.10",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to tender,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AON33068,,"Children in Care to Great Yarmouth, Caister and Gorleston schools.  ",Single award contract,CHILDREN,,,"Children in Care to Great Yarmouth, Caister and Gorleston schools.  ",Passenger transport.Childrens Social Care,,,,,07/09/2011,31/07/2016,31/07/2016,31/07/2019,"33,778.36",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to tender,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AON33069,,Great Yarmouth to Lowestoft Schools. ,Single award contract,CHILDREN,,,Great Yarmouth to Lowestoft Schools. ,Passenger transport.Education  Special Needs,,,,,07/09/2011,31/07/2016,31/07/2016,31/07/2019,"116,948.18",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to tender,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AON33070,,Great Yarmouth and Gorleston area to Bradwell and Belton Primary schools. St Olaves and Fritton to Ormiston ,Single award contract,CHILDREN,,,Great Yarmouth and Gorleston area to Bradwell and Belton Primary schools. St Olaves and Fritton to Ormiston ,"Passenger transport.Education Mainstream, Education  Special Needs",,,,,07/09/2011,31/07/2016,31/07/2016,31/07/2019,"149,135.20",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to tender,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AON33071,,South Pick ups to Cliff Park schools. ,Single award contract,CHILDREN,,,South Pick ups to Cliff Park schools. ,Passenger transport.Education  Special Needs,,,,,07/09/2011,31/07/2016,31/07/2016,31/07/2019,"39,032.77",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to tender,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AON33072,,Caister and Great Yarmouth pick ups to Cliff Park schools. ,Single award contract,CHILDREN,,,Caister and Great Yarmouth pick ups to Cliff Park schools. ,Passenger transport.Education  Special Needs,,,,,07/09/2011,31/07/2016,31/07/2016,31/07/2019,"171,744.18",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to tender,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AON33073,,Special Education Needs Transport to  Great Yarmouth & East Norfolk Sixth Form Colleges ,Single award contract,CHILDREN,,,Special Education Needs Transport to  Great Yarmouth & East Norfolk Sixth Form Colleges ,Passenger transport.Education Post 16,,,,,07/09/2011,31/07/2016,31/07/2016,31/07/2019,"537,331.08",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to tender,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AQN33086,,Aylsham to Sheringham Woodfields Special School ,Single award contract,CHILDREN,,,Aylsham to Sheringham Woodfields Special School ,Passenger transport.Education  Special Needs,,,,,06/09/2012,31/07/2015,31/07/2015,31/07/2015,"126,670.14",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AUN33092,,"Great Yarmouth to Aylmerton, St Andrews ",Single award contract,CHILDREN,,,"Great Yarmouth to Aylmerton, St Andrews ",Passenger transport.Education  Special Needs,,,,,08/11/2012,31/07/2017,31/07/2017,31/07/2014,"45,912.33",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AON42670,,"Bradwell, Gorleston, Stalham, Walcott to Cromer Academy SRB ",Single award contract,CHILDREN,,,"Bradwell, Gorleston, Stalham, Walcott to Cromer Academy SRB ",Passenger transport.Education  Special Needs,,,,,01/09/2013,30/06/2017,30/06/2017,30/06/2017,"98,243.01",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to tender,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AON42671,,"Great Yarmouth Borough Council area to Compass Short Stay school, Belton ",Single award contract,CHILDREN,,,"Great Yarmouth Borough Council area to Compass Short Stay school, Belton ",Passenger transport.Education  Special Needs,,,,,01/08/2013,31/07/2018,31/07/2018,31/07/2021,"331,686.35",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to tender,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,AQN41933,,Belton and Bradwell to John Grant School ,Single award contract,CHILDREN,,,Belton and Bradwell to John Grant School ,Passenger transport.Education  Special Needs,,,,,30/09/2013,31/07/2015,31/07/2015,31/07/2015,"41,789.59",Estimated Cost,,Albies Taxis,,,66006,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Invitation to quote,,,,,
