category,date,total_spend,YYYY,MM
Equipment Purchases For Service Users,2014-03-01,328691.35,2014,3
Cost of Providing Short Term Breaks,2012-01-01,1895.25,2012,1
Contract Overheads,2013-06-01,145000,2013,6
Electricity,2013-03-01,99076.84,2013,3
Office Equipment & Supplies,2013-04-01,3185.72,2013,4
Agency Staff - Admin/Chief Officers - Scale K and Above,2013-11-01,11410.48,2013,11
Purchase Of Books,2011-11-01,419.8,2011,11
Fixed Price Vehicle Maintenance,2011-05-01,32518.5,2011,5
Highway Patching to Carriageway and Footway,2011-07-01,541.49,2011,7
Estate / Site Management Costs,2011-11-01,99889.78,2011,11
Bmf Swimming Pool Plant,2013-01-01,430.55,2013,1
Books and Publications,2013-04-01,17578.5,2013,4
Sessional Fees,2011-06-01,15281.35,2011,6
Certificate - Building Fabric,2012-07-01,32635.31,2012,7
Vehicle Abuse/Wear & Tear Costs,2012-10-01,1169.35,2012,10
Other Expenditure,2014-05-01,1271.1,2014,5
Water and Sewerage Costs,2011-04-01,7655.53,2011,4
Highway Winter Salt Barn Availability Charge under PFI,2011-12-01,38169.18,2011,12
ICT Equipment Purchases,2012-11-01,101171.49,2012,11
Learning Resources Purchases,2012-12-01,1940.55,2012,12
Highway Verge Hedge and Tree Maintenance,2012-12-01,205.98,2012,12
Day Care / Supported Activities,2013-08-01,204042.99,2013,8
Bmf Gas Pressure Testing,2013-12-01,306.45,2013,12
Highway Illuminated Sign Non-Routine Maintenance,2011-11-01,3745.67,2011,11
Compact Discs,2011-01-01,3207.55,2011,1
Management Fees - General,2012-04-01,193814.05,2012,4
Construction Costs -Roads - ECI - May Gurney,2013-12-01,8862.67,2013,12
Fuel Oil,2011-08-01,2933.39,2011,8
Vehicle Fuel,2014-06-01,7144.19,2014,6
Architects Fees,2012-07-01,12279.6,2012,7
Library Books - Large Print,2012-12-01,1067.24,2012,12
Private Voluntary Independent School Pre-school & Playgroup,2014-02-01,139873.99,2014,2
Contract Overheads,2011-04-01,448.17,2011,4
Certificate - Electricity Power & Light,2013-11-01,114833.94,2013,11
Personal Budget - Domiciliary Care,2013-01-01,114172.86,2013,1
Non Staff Public Transport Costs,2013-02-01,822410.04,2013,2
Purchase Of IT,2011-09-01,169622.72,2011,9
Purchase Of Major Software,2011-10-01,801.5,2011,10
Care Leavers Rent & Accommodation,2011-11-01,56265.72,2011,11
Highway Lighting Repairs,2011-05-01,440,2011,5
Software Maintenance,2011-03-01,35306.53,2011,3
Sundry Purchases,2012-04-01,3311,2012,4
Compact Discs,2014-07-01,817.15,2014,7
Furniture Purchases,2013-01-01,11420.45,2013,1
"Printing, Stationery and Photocopying",2014-04-01,111094.78,2014,4
Grounds Maintenance Costs,2011-12-01,62324.21,2011,12
Grants To Playgroups,2011-01-01,600.6,2011,1
Bmf Swimming Pool Maintenance,2013-06-01,201.93,2013,6
Staff Subsistence & Conference Expenses,2012-08-01,18083.86,2012,8
Agency Staff - Admin/Chief Officers - Scale K and Above,2013-02-01,14036.46,2013,2
Highway Street Lighting Non-Routine Maintenance,2012-02-01,5833.18,2012,2
Library Books - Electronic Subscriptions,2013-03-01,5115,2013,3
Telephone Rental & Calls,2011-02-01,90004.5999999999,2011,2
Escorts (Home to School Transport),2013-01-01,467.5,2013,1
Publicity-Advertising,2011-05-01,1867,2011,5
Road Maintenance Contractor Payments,2011-02-01,127269.96,2011,2
Services Provided By Landlord,2013-03-01,14238.78,2013,3
Canon Hygiene Service Contract,2011-04-01,119.82,2011,4
Refuse Collection Costs,2012-12-01,2151.59,2012,12
Staff Subsistence & Conference Expenses,2014-04-01,2961.28,2014,4
Actuarial Fees-Investment,2012-02-01,15900,2012,2
Swimming Pool Plant,2011-04-01,433.13,2011,4
Buildings - External Redecoration,2013-01-01,2972.79,2013,1
Consultants Fees,2014-05-01,30792.78,2014,5
Operational Staff - Scale A to J,2011-02-01,70407.47,2011,2
Bmpp Security Systems,2013-10-01,14001.28,2013,10
Recharge Other Service,2011-06-01,1375.05,2011,6
Purchase Of Equipment,2011-05-01,5810.48,2011,5
Agency Staff - Social Services Operational-Other1 April,2012-08-01,37304.27,2012,8
Building / Planning Applications,2012-01-01,4514.94,2012,1
Materials Purchases,2012-09-01,128971.57,2012,9
Priority Routes 1 & 2 Standby (Morning),2011-04-01,8916.66,2011,4
Free Nursing Care  - High Band,2012-11-01,-4616.23,2012,11
General Disbursements,2011-08-01,1993.14,2011,8
Consumable Stores,2011-03-01,448.5,2011,3
Fees & Charges,2011-01-01,234691.46,2011,1
Cost of Sales,2011-03-01,2131.6,2011,3
Work Centre Materials,2011-01-01,17999.81,2011,1
Surveyors Fees,2011-03-01,330,2011,3
Highway Kerb Footway and Cycleway Repairs,2013-08-01,16105.41,2013,8
Loans To Outside Bodies,2012-10-01,380000,2012,10
Free School Meals Payments,2012-01-01,487241.04,2012,1
Library Books General,2012-04-01,37470.42,2012,4
Child In Care Residential Home Out Of Norfolk,2014-08-01,287445.51,2014,8
Child In Care Residential School 52 Week Out Of Norfolk,2013-05-01,112894.51,2013,5
Short-term Vehicle Hire,2011-10-01,6411.23,2011,10
Construction Costs - New Buildings,2011-05-01,372170.77,2011,5
Operational - Manual,2012-07-01,2661.81,2012,7
Equipment Purchases For Service Users,2012-06-01,41191.76,2012,6
Library Books-Standing Orders,2011-10-01,2952.74,2011,10
Enquiry Agents Fees,2011-12-01,11478.28,2011,12
Fees & Charges,2012-06-01,53007.2,2012,6
Private Contractor Site Operation Payments,2012-04-01,1466286.26,2012,4
Staff Public Transport Costs,2013-01-01,1160.06,2013,1
ICT Other Running Costs,2013-09-01,655128.05,2013,9
Bmpp Electrical Installation Testing,2014-05-01,23546.95,2014,5
Gas Pressure Testing,2011-08-01,15268.58,2011,8
Medical Requisites & Drugs Etc,2013-08-01,14552.3,2013,8
Short Term Care with Nursing,2011-06-01,16403.94,2011,6
Equipment Purchases For Service Users,2014-07-01,264099.94,2014,7
Long Term Residential Care,2012-02-01,4245803.82,2012,2
Supported Living,2011-05-01,1317404.64,2011,5
Allowance For Special Purposes,2011-01-01,4833.14,2011,1
Fees & Charges,2014-07-01,768814.39,2014,7
Construction Costs - Roads,2011-12-01,1293785.68,2011,12
Adaptation/Improvement-Existing Buildings,2014-05-01,1549.1,2014,5
Bmf Repair & Replacement Of Light,2013-04-01,5480.14,2013,4
Ext Highways - Utilities Trench & Cover Repairs,2013-02-01,7934.27,2013,2
Highway Rechargeable Works Payments,2014-05-01,1108.94,2014,5
Construction Cost-Adaptation/Improvement Building,2013-12-01,1680193.04,2013,12
Awards Or Grants For School Children Students & Learners,2011-08-01,2969.13,2011,8
Postage & Postal Services,2011-09-01,7225.78,2011,9
Grounds Maintenance Costs,2012-02-01,37709.12,2012,2
Recharge Passenger Transport Group - Transport Costs,2011-09-01,10000,2011,9
Highway Drainage Repairs,2011-03-01,53755.99,2011,3
Highway Street Lighting Non-Routine Maintenance,2011-12-01,16551.13,2011,12
Adoption Allowance Payments,2014-06-01,15897.4,2014,6
Community Based Assessments,2013-08-01,14554.3,2013,8
Bmf Internal Redecoration,2013-01-01,4631.68,2013,1
Sponsored Child Minding,2011-02-01,1618.38,2011,2
Child In Care Residential Home In Norfolk,2014-05-01,253622,2014,5
Road Fund Driving & Operators Licences,2011-12-01,273.75,2011,12
Highway Winter Weather Forecast Service Charge,2013-01-01,21600,2013,1
Staff Conference Expenses Travel & Subsistence,2011-02-01,1799.6,2011,2
Non Staff Public Transport Costs,2014-01-01,858039.83,2014,1
Short Term Residential Care,2013-12-01,142825.85,2013,12
Compensation & Ex-Gratia Payments,2012-03-01,825,2012,3
Bmpp Lifts Maintenance & Repairs,2013-01-01,2478.21,2013,1
Agency Staff - Admin/Chief Officers - Scale K and Above,2014-01-01,5190.82,2014,1
Staff Car & Cycle Allowances,2012-08-01,128.18,2012,8
Ext Highways - Utilities Trench & Cover Repairs,2013-11-01,1226.29,2013,11
Short-term Vehicle Hire,2012-10-01,1560.28,2012,10
Highway Winter Salt Barn Availability Charge under PFI,2012-02-01,76338.36,2012,2
Grant Payments,2012-12-01,97152.37,2012,12
Bmf Electrical Rewiring,2013-01-01,15000,2013,1
Library Books-Standing Orders,2012-10-01,599.04,2012,10
Other Capital,2012-05-01,3475.75,2012,5
Purchase Of Furniture,2011-11-01,141626.33,2011,11
Foster Care Retainer Pay,2013-07-01,10839.8,2013,7
Consultants Fees and Charges,2011-05-01,24531.33,2011,5
Placement Cost - Agency Fee,2011-09-01,15456,2011,9
Construction Costs Roads Other,2013-10-01,17263.31,2013,10
Teaching Support,2011-08-01,7858.75,2011,8
Staff Car & Cycle Allowances,2014-04-01,145.8,2014,4
Gas Appliances & Repairs Test,2011-07-01,8770.62,2011,7
Internal Recharge- Highways SAMS Signs,2014-01-01,500,2014,1
Support Services,2013-03-01,2079.5,2013,3
Fees/Expenses Other Consultants,2011-04-01,66841.88,2011,4
Compact Discs,2014-03-01,836.03,2014,3
Interest,2011-12-01,14800,2011,12
Consultants Fees and Charges,2012-04-01,6830.22,2012,4
Bmpp Boiler Servicing,2014-04-01,41631.16,2014,4
Short Term Residential Care,2013-04-01,149897.25,2013,4
Landfill Leachate Costs,2013-06-01,19973.41,2013,6
Room Hire,2014-07-01,276.75,2014,7
Construction Cost-Adaptation/Improvement Building,2013-05-01,841831.86,2013,5
Services of Solicitors Agents,2011-07-01,25994.71,2011,7
Tree Planting/Landscaping Works,2011-02-01,39012.09,2011,2
Care Leavers-Education/Training,2013-06-01,1500,2013,6
Highway Patching to Carriageway,2011-03-01,315233.99,2011,3
Schedule of Rates Vehicle Maintenance,2013-06-01,5849.15,2013,6
Educational Local Purchase,2011-03-01,4080,2011,3
Contract Cleaning & Other Cleaning Services,2013-11-01,1254.01,2013,11
Short Term Residential Care,2013-05-01,137532.58,2013,5
Participants Subsistence,2011-03-01,3423.41,2011,3
Child In Care Residential Home In Norfolk,2013-07-01,229234.14,2013,7
Construction - Enabling Works,2011-07-01,3200,2011,7
Grants To Voluntary & Social Enterprises,2014-05-01,4346.27,2014,5
Construction Cost-Adaptation/Improvement Building,2013-04-01,3466356.04,2013,4
On-Line Bank Charges,2011-11-01,2425.11,2011,11
Room Hire,2011-01-01,3611.37,2011,1
Vehicle  Leasing Costs,2012-08-01,178933.57,2012,8
Equipment Leasing Costs,2011-04-01,60000,2011,4
Bmf Plant Replacements,2014-04-01,18129.86,2014,4
Direct Payment - Domiciliary Care,2012-08-01,11936.32,2012,8
Legal Expenses Land,2013-02-01,1855,2013,2
Gas (LPG) & other Heating Fuels,2012-01-01,3245.31,2012,1
Court Caretaker-Justice Assistant,2011-01-01,665,2011,1
Library Books-Adult Non Fiction,2012-11-01,37552.99,2012,11
Foster Care Retainer Pay,2014-05-01,4214.4,2014,5
Other Expenses,2014-01-01,1435.5,2014,1
Fire Service Radio Equipment - Running Costs,2013-03-01,2491.49,2013,3
Housing Related Support-Other Bodies,2013-06-01,153910.65,2013,6
Plant Replacements,2011-07-01,15770.18,2011,7
Vehicle  Leasing Costs,2014-04-01,100723.24,2014,4
Agency Staff - Relief Assistant Warden,2013-07-01,4531.76,2013,7
Building Alterations & Improvements,2012-03-01,96174.85,2012,3
Highway Pothole Repairs,2013-03-01,22077.18,2013,3
Staff Training Costs,2013-01-01,35842.24,2013,1
Bmf Minor Building Repairs,2013-09-01,2518.99,2013,9
Direct Payment - Domiciliary Care,2014-04-01,246468.13,2014,4
Bmpp Electrical & Mechanical Maintenance,2014-06-01,15507.71,2014,6
Long Term Care with Nursing,2011-11-01,917356.36,2011,11
Repair & Replacement Of Light Fittings,2011-03-01,4017.37,2011,3
Agency Staff - Admin & Clerical - Scale A to J,2013-08-01,48253.46,2013,8
Private Finance Initiative Payments,2014-04-01,1903535.4,2014,4
Security Systems,2011-12-01,17303.31,2011,12
Swimming & Games Facilities,2011-11-01,3051.66,2011,11
Bmf Fire Alarms,2014-03-01,9901.78,2014,3
Furniture Purchases,2012-07-01,1719.2,2012,7
Data System Installation Costs,2011-03-01,1776299.46,2011,3
Private Contractor Site Operation Payments,2011-05-01,430362.43,2011,5
Agency Staff - Permanent Teachers,2012-02-01,3890.48,2012,2
Vehicle Repair Costs,2013-03-01,9527.24,2013,3
Payments to Organisations Providing Services To NCC,2012-08-01,29170.84,2012,8
External Redecoration,2011-12-01,71605.16,2011,12
Tree Planting/Landscaping Works,2013-10-01,1650,2013,10
Highway Drainage Rodding and Jetting,2012-02-01,36941.61,2012,2
Escorts (Home to School Transport),2012-07-01,431.5,2012,7
Private Contractor Subsidy Payments,2013-09-01,262219.56,2013,9
Bmf Reroofing,2014-06-01,2444.28,2014,6
Conservation Material,2014-03-01,881.85,2014,3
Payments to Organisations Providing Services To NCC,2014-04-01,2372101.31,2014,4
Contract Cleaning & Other Cleaning Services,2013-02-01,2639.4,2013,2
Protective Clothing and Uniforms,2012-09-01,1008.28,2012,9
Additional Furniture & Equipment,2011-11-01,731.44,2011,11
Contract Taxi Hire,2012-02-01,3650,2012,2
Library Books - Adult Fiction,2012-03-01,26943.71,2012,3
Supported Living,2012-04-01,1072223.09,2012,4
Traffic Signals and Systems Non-Planned Maint.,2014-06-01,11299.3,2014,6
Private Finance Initiative Payments,2012-08-01,1527085.18,2012,8
Highway Traffic Signals and Systems Energy,2012-06-01,13357.07,2012,6
Library Books - Junior Fiction,2012-12-01,3333.8,2012,12
Landfill Leachate Costs,2011-04-01,137271.56,2011,4
Certificate - Building Fabric,2013-01-01,2431.54,2013,1
ICT System Improvements,2011-09-01,72477.71,2011,9
Residence Order Allowance,2014-08-01,858.21,2014,8
Bmf Repair & Replacement Of Light,2013-12-01,889.46,2013,12
(no data),2014-12-01,57119649.2600018,2014,12
Schedule of Rates Vehicle Maintenance,2011-04-01,32637.32,2011,4
Contract Plant & Machinery Hire,2011-08-01,128015.94,2011,8
Structural Building Work,2011-06-01,34799.88,2011,6
Newspaper Filming,2012-06-01,1404.85,2012,6
Child In Care Agency Fostering,2011-03-01,3550.87,2011,3
Child In Care Residential School 52 Week Out Of Norfolk,2013-12-01,165024.15,2013,12
Cost of Providing Short Term Breaks,2012-05-01,1821.69,2012,5
Highway Traffic Signals and Systems Energy,2011-01-01,26852.68,2011,1
Temporary Staff Admin & Clerical,2011-07-01,9729.48,2011,7
Library Books General,2011-05-01,13620.11,2011,5
Bmpp Electrical Installation Testing,2013-07-01,27848.5,2013,7
Architects Fees,2013-01-01,5775,2013,1
Service Level Agreement With Organisations Providing Services to NCC,2011-12-01,996155.49,2011,12
Bmf External Redecoration,2013-12-01,1788,2013,12
Contributions to NCC Partnerships,2011-09-01,12000,2011,9
Highway Traffic Signals and Systems Accident Damage,2014-02-01,9594.39,2014,2
Swimming Pool Maintenance,2012-01-01,1075.1,2012,1
Personal Budget - Domiciliary Care,2012-07-01,132312.84,2012,7
Site Works - Land,2013-06-01,19705,2013,6
Custody Fees,2013-11-01,31324.64,2013,11
Highway Rechargeable Works Payments,2013-07-01,17033.72,2013,7
Adaptation/Improvement-Existing Buildings,2013-07-01,1330,2013,7
Bmf Gas Pressure Testing,2013-05-01,344,2013,5
School Equipment Inspection/Testing,2011-01-01,11164.84,2011,1
Non Staff Advertising - Discretionary,2011-04-01,21652.76,2011,4
Traffic Signals and Systems Accident Damage,2014-03-01,1382.22,2014,3
Bmpp Tank Clean/Water System Disinf,2012-11-01,41219.58,2012,11
Construction Costs -Roads - ECI - May Gurney,2013-04-01,12859.27,2013,4
Staff Public Transport Costs,2012-07-01,500.6,2012,7
Buildings - Internal Redecoration,2013-04-01,1198.42,2013,4
Certificate - Plant Replacement,2011-09-01,206731.52,2011,9
Staff Conference Expenses - Other,2011-02-01,485.86,2011,2
Sundry Purchases,2011-05-01,4500,2011,5
Purchase Of Equipment,2012-04-01,1666.66,2012,4
Bmf Minor Building Repairs,2014-08-01,5148.57,2014,8
Cleaner/Domestic,2011-04-01,641.39,2011,4
Highway Safety Barriers,2011-09-01,67529.46,2011,9
"Own Disbursements, Other",2014-01-01,960,2014,1
Highway Surveys B Roads,2012-12-01,18510.74,2012,12
Care Leavers Independent Living Grant,2013-06-01,568.92,2013,6
Hospitality Expenses,2011-06-01,5065.85,2011,6
Construction Costs-Mobile Classrooms,2013-11-01,55127.55,2013,11
Construction Costs -Roads - ECI - May Gurney,2013-05-01,7021.14,2013,5
Care Leavers Personal Allowance/Support,2012-06-01,662.5,2012,6
Internal Recharge Laboratory Testing,2012-04-01,600,2012,4
Highway Road Sign Maintenance,2013-08-01,2216.38,2013,8
Highway Grass Cutting,2011-05-01,13191.25,2011,5
Custody Fees,2014-01-01,26531.19,2014,1
Sessional Tutors,2012-12-01,750,2012,12
Other Expenses,2013-02-01,21561.72,2013,2
Alterations To Service - Gas,2012-07-01,99000,2012,7
Other Professional Services,2013-06-01,35199.7,2013,6
Other Support Costs,2013-05-01,62.5,2013,5
Foster Carer Allowance Special Purposes,2011-04-01,1800,2011,4
CMW M&E Other,2011-09-01,-19088.5,2011,9
Consultants Fees,2013-07-01,580,2013,7
Other Capital,2012-01-01,8299.87,2012,1
Internal Recharge Fencing,2011-03-01,745.36,2011,3
School Equipment Inspection/Testing,2012-06-01,14553.96,2012,6
Agency Staff - Operational - Manual,2013-07-01,107279.34,2013,7
Grants To Outside Bodies,2011-08-01,279921.4,2011,8
Boiler & Heating Repl M&E,2012-10-01,220980.6,2012,10
Highway Structures Maintenance,2014-05-01,36752.63,2014,5
Bmf Tank Clean/Water System Disinf,2014-04-01,4121.19,2014,4
Spoken Word Cassettes,2012-03-01,1972.4,2012,3
Highway Gulley Emptying,2012-03-01,180978.57,2012,3
Alterations To Service - Telecom,2013-03-01,48072.76,2013,3
Library Books - Junior Non Fiction,2014-06-01,839.95,2014,6
Interpreters,2013-03-01,6000,2013,3
Subscriptions To Other Libraries,2012-06-01,561.75,2012,6
Construction Costs-Mobile Classrooms,2013-02-01,3800,2013,2
Domiciliary Care,2013-05-01,1870002.5,2013,5
Hire Of Premises,2011-01-01,25450.95,2011,1
Other Professional Services,2011-04-01,155589.92,2011,4
Highway Bridge Maintenance,2012-09-01,235200.29,2012,9
Grants To Other Bodies,2011-05-01,1244.05,2011,5
Equipment Purchases,2012-12-01,29526.89,2012,12
Highway Fencing Repairs,2013-07-01,5227.58,2013,7
Domiciliary Care,2013-04-01,1816490.24,2013,4
Subscriptions To Other Libraries,2014-07-01,5965,2014,7
Building Maintenance & Repairs,2013-08-01,51348.69,2013,8
A.C.P. Committee Training,2011-03-01,1018.18,2011,3
Service Level Agreement With Organisations Providing Services to NCC,2012-02-01,5168029.8,2012,2
Contract Cleaning & Other Cleaning Services,2014-01-01,1286.51,2014,1
Staff Advertising  Expenses,2014-05-01,4539.87,2014,5
Bmpp School Equipment Inspection/Test,2013-08-01,20132.17,2013,8
Fixed Price Vehicle Maintenance,2012-04-01,29630.87,2012,4
Bmf Fire Alarms,2014-07-01,3639.44,2014,7
Highway Illuminated Signs Energy,2011-09-01,23322.74,2011,9
Foster Carer Allowance Special Purposes,2013-06-01,955,2013,6
Contact Arrangements,2013-07-01,3241,2013,7
Voluntary Driver Payments,2011-09-01,7860.43,2011,9
Conservation Material,2011-01-01,782.2,2011,1
Security Systems,2012-02-01,11045.78,2012,2
Private Contractor Subsidy Payments,2014-08-01,295851.04,2014,8
Books and Publications,2013-12-01,2345.21,2013,12
Agency Staff - Permanent Teachers,2011-12-01,6054.46,2011,12
Other Miscellaneous Expenses,2011-11-01,566.81,2011,11
Legal Fees,2013-05-01,30088.37,2013,5
External Redecoration,2012-02-01,51226.13,2012,2
Office Equipment & Supplies,2013-12-01,13369.2,2013,12
Highway Drainage Rodding and Jetting,2011-12-01,21022.56,2011,12
Non Staff Advertising - Discretionary,2013-06-01,12530.39,2013,6
Care Leavers Independent Living Grant,2011-04-01,600,2011,4
Contract Taxi Hire,2011-12-01,5067,2011,12
Other Expenses,2013-11-01,15325,2013,11
Subscriptions To Other Libraries,2011-01-01,784.75,2011,1
Direct Payment - One Off Payment To Carers,2012-09-01,1101.55,2012,9
Security Systems,2011-09-01,9652.27,2011,9
Awards Or Grants For School Children Students & Learners,2013-05-01,4800,2013,5
External Redecoration,2011-09-01,153492.39,2011,9
Direct Payments - Short Term Break,2014-07-01,887.12,2014,7
Construction Costs-Mobile Classrooms,2014-05-01,107409.01,2014,5
Agency Staff - Admin & Clerical - Scale A to J,2012-05-01,60454.48,2012,5
Staff Public Transport Costs,2013-06-01,2445.35,2013,6
Certificate - Electricity Power & Light,2013-07-01,25210.95,2013,7
Section 17 Financial Assistance,2013-03-01,2308,2013,3
Construction Costs - Roads - HOPS,2012-05-01,1350,2012,5
Bmf Generators & Repairs Arising,2013-09-01,768.42,2013,9
Minor Building Repairs,2012-06-01,38857.37,2012,6
Awards Or Grants For School Children Students & Learners,2013-04-01,7540,2013,4
Child In Care Residential Home Out Of Norfolk,2012-03-01,405626.63,2012,3
Staff Advertising  Expenses,2013-02-01,9377.61,2013,2
Care Leavers Independent Living Grant,2012-07-01,513,2012,7
Homelessness Support Child In Need,2014-03-01,3619.72,2014,3
ICT System Improvements,2011-12-01,586050.04,2011,12
Mobile Phone Other,2011-02-01,162.46,2011,2
Supported Living,2014-04-01,907959.33,2014,4
Teaching Support,2013-04-01,4930,2013,4
Day Care / Supported Activities,2012-01-01,211406.51,2012,1
Payments to Organisations Providing Services To NCC,2012-04-01,33012.18,2012,4
Engineering Design Fees,2013-03-01,5233.21,2013,3
Other Professional Services,2012-07-01,28206.19,2012,7
Fire Service Radio Equipment - Purchase,2011-07-01,525,2011,7
Minor Building Repairs,2011-01-01,40553.1,2011,1
Support Staff Overtime,2012-06-01,3686.02,2012,6
Laboratory Testing -Pre Works,2011-06-01,23108.92,2011,6
Call System Service Contract,2011-05-01,563.5,2011,5
Consultancy,2011-04-01,37843.72,2011,4
Electricity at Work Regulations Testing/ Repair,2011-03-01,538.57,2011,3
Teaching Support,2013-05-01,2512.5,2013,5
Boiler & Heating Repl M&E,2014-02-01,33021.36,2014,2
Service Level Agreement With Organisations Providing Services to NCC,2011-09-01,2387440.66,2011,9
Private Finance Initiative Payments,2012-04-01,1099687.28,2012,4
Supported Living,2012-08-01,1230988.15,2012,8
Child In Care Other,2011-05-01,3200,2011,5
Adoption Allowance Payments,2011-11-01,9698.06,2011,11
Contributions To NCC Partnerships & Pooled Funds,2012-05-01,45983.33,2012,5
Voluntary Driver Payments,2012-02-01,9957.67,2012,2
Canteen Equipment - Repairs,2011-01-01,1593.37,2011,1
General Maintenance,2011-01-01,10456.04,2011,1
Vehicle  Leasing Costs,2012-04-01,115514.84,2012,4
General Equipment/Tools/Materials-Purchase,2012-04-01,1527,2012,4
Staff Advertising  Expenses,2013-11-01,27084.22,2013,11
Insurance Premiums Paid -External,2011-12-01,86402.92,2011,12
Direct Payment - Domiciliary Care,2012-04-01,11804.84,2012,4
Hospitality Expenses,2011-07-01,3015.1,2011,7
Non Staff Public Transport Costs,2013-07-01,830051.37,2013,7
M&E Other (Schools),2013-12-01,149182.18,2013,12
Grants To Voluntary & Social Enterprises,2014-01-01,3857.79,2014,1
Bmpp Swimming Pool Plant,2014-03-01,700.79,2014,3
Bmpp Ashpalting,2013-09-01,2713.78,2013,9
Purchase Of Land,2012-03-01,163863.7,2012,3
Highway Street Lighting Energy,2011-01-01,154228.65,2011,1
Bmf Boiler Servicing,2014-04-01,19603.07,2014,4
Foster Carer Allowance Special Purposes,2012-07-01,700,2012,7
Cost of Providing Short Term Breaks,2013-08-01,2218.15,2013,8
Cost of Licenses & Subscriptio,2012-04-01,584,2012,4
Contract Plant & Machinery Hire,2013-12-01,122853.49,2013,12
Marketing Design Costs,2011-03-01,6469.29,2011,3
Boiler Servicing,2011-02-01,37277.94,2011,2
Valuers Fees,2011-03-01,7993.83,2011,3
Highway Street Lighting Energy,2012-06-01,112932.79,2012,6
Consultants Fees and Charges,2012-08-01,14345,2012,8
Child In Care Residential School 52 Week Out Of Norfolk,2011-08-01,313510.11,2011,8
Staff Public Transport Costs,2011-04-01,18868.45,2011,4
Other Expenses,2014-05-01,6865.26,2014,5
Foster Care Retainer Pay,2014-01-01,8775.17,2014,1
Higher Education Places Payments,2011-02-01,30714.74,2011,2
Non Staff Advertising - Discretionary,2012-07-01,24357.36,2012,7
Library Books - Junior Fiction,2013-10-01,7218.13,2013,10
Non Staff Advertising - Statutory,2011-03-01,1042.47,2011,3
Highway Road Markings,2013-03-01,9995.55,2013,3
Bmf Building Repairs,2014-07-01,24077.51,2014,7
Compensation & Ex-Gratia Payments,2014-08-01,1572.8,2014,8
Agency Staff - Admin/Chief Officers - Scale K and Above,2013-07-01,10047,2013,7
Broadband Virtual Private Network & Leased Lines,2012-11-01,324459.05,2012,11
Education (Schools) Recoupment Payments,2014-02-01,96795.94,2014,2
Staff Car & Cycle Allowances,2011-05-01,1932.8,2011,5
Highway Street Lighting Energy,2014-07-01,115215.05,2014,7
Bank Charges,2013-03-01,1445.29,2013,3
Highway Safety Barriers,2012-02-01,20678.35,2012,2
Consultants Fees and Charges,2014-04-01,1948.2,2014,4
Purchase Nursing Preserved Rights,2011-01-01,18708,2011,1
Leaving Care Act Furniture/Equipment,2011-02-01,904,2011,2
ICT System Improvements,2012-02-01,562771.16,2012,2
Fuel Oil,2013-04-01,12666.24,2013,4
"Broadband, Virtual Private Network & Leased Lines",2014-03-01,16206.98,2014,3
Schedule of Rates Vehicle Maintenance,2012-07-01,58909.67,2012,7
Water and Sewerage Costs,2013-01-01,2281.66,2013,1
Direct Payment - Day Care Services / Supported Activities,2011-11-01,2673.99,2011,11
Landfill Leachate Costs,2012-07-01,6239.79,2012,7
Care Leavers-Education/Training,2012-07-01,800,2012,7
Highway Road Sign Maintenance,2012-05-01,1082.54,2012,5
