H|vendor_id|ch_num|filing/id|filing/uid|filing/date|filing/title|filing/description|filing/url|filing/filing_type|filing/opencorporates_url|filing/filing_code|dummy_data
D|73585|0270273|251691751|MjAzNDkwNTE4M2FkaXF6a2N4|2009-06-11|Filing dated 2009-06-11|Director's change of particulars / christopher snowling / 11/06/2009|||https://opencorporates.com/statements/251691751|288c|x
D|73585|0270273|251691752|MjAzMTg3NTg4MmFkaXF6a2N4|2009-04-30|Filing dated 2009-04-30|Return made up to 17/04/09; full list of members|||https://opencorporates.com/statements/251691752|363a|x
D|73585|0270273|251691753|MjAxNDYzNDQ0MmFkaXF6a2N4|2008-10-02|Annual Accounts|Accounts made up to 2007-12-31||Annual Accounts|https://opencorporates.com/statements/251691753|AA|x
D|73092|03319463|310475108|MzEzOTczOTU0MWFkaXF6a2N4|2016-01-14|Annual Return|Annual return made up to 2015-12-29 with full list of shareholders||Annual Return|https://opencorporates.com/statements/310475108|AR01|x
D|73092|03319463|270692842|MzEzMzk4NjkzOGFkaXF6a2N4|2015-11-04|Annual Accounts|Accounts for a small company made up to 2015-03-31||Annual Accounts|https://opencorporates.com/statements/270692842|AA|x
D|73092|03319463|270692845|MzExNDkzMDgyMGFkaXF6a2N4|2015-01-07|Annual Return|Annual return made up to 2014-12-29 with full list of shareholders||Annual Return|https://opencorporates.com/statements/270692845|AR01|x
D|73092|03319463|270692847|MzEwOTgwMjUwN2FkaXF6a2N4|2014-10-23|Annual Accounts|Accounts for a small company made up to 2014-03-31||Annual Accounts|https://opencorporates.com/statements/270692847|AA|x
D|73092|03319463|270692850|MzA5MjI4NTI2N2FkaXF6a2N4|2014-01-08|Annual Return|Annual return made up to 2013-12-29 with full list of shareholders||Annual Return|https://opencorporates.com/statements/270692850|AR01|x
D|73092|03319463|270692854|MzA5MjI4NTE1M2FkaXF6a2N4|2014-01-08|Change of director's details|Director's details changed for Mr Christopher Michael Pank on 2013-09-01||Change of director's details|https://opencorporates.com/statements/270692854|CH01|x
D|73092|03319463|270692858|MzA5MDkxMTQ5NmFkaXF6a2N4|2013-12-17|Annual Accounts|Accounts for a small company made up to 2013-03-31||Annual Accounts|https://opencorporates.com/statements/270692858|AA|x
D|73092|03319463|270692861|MzA3MDMyMjM0OGFkaXF6a2N4|2013-01-03|Annual Return|Annual return made up to 2012-12-29 with full list of shareholders||Annual Return|https://opencorporates.com/statements/270692861|AR01|x
D|73092|03319463|270692864|MzA2ODIyNzA0NmFkaXF6a2N4|2012-11-27|Annual Accounts|Accounts for a small company made up to 2012-03-31||Annual Accounts|https://opencorporates.com/statements/270692864|AA|x
D|73092|03319463|270692869|MzA1MDE5MjI2OWFkaXF6a2N4|2012-01-05|Annual Return|Annual return made up to 2011-12-29 with full list of shareholders||Annual Return|https://opencorporates.com/statements/270692869|AR01|x
D|73092|03319463|270692873|MzA0OTg2MjI5MmFkaXF6a2N4|2011-12-30|Annual Accounts|Total exemption small company accounts made up to 2011-03-31||Annual Accounts|https://opencorporates.com/statements/270692873|AA|x
D|73092|03319463|270692877|MzAzMDkzMTk4NmFkaXF6a2N4|2011-01-24|Annual Return|Annual return made up to 2010-12-29 with full list of shareholders||Annual Return|https://opencorporates.com/statements/270692877|AR01|x
D|73092|03319463|191223560|MzAyNzkyMDA0MmFkaXF6a2N4|2010-11-30|Annual Accounts|Accounts for a small company made up to 2010-03-31||Annual Accounts|https://opencorporates.com/statements/191223560|AA|x
D|73092|03319463|270692880|MzAyNzkyMDA0MmFkaXF6a2N4|2010-11-30|Annual Accounts|Accounts for a small company made up to 2010-03-31||Annual Accounts|https://opencorporates.com/statements/270692880|AA|x
D|73092|03319463|270692889|MzAwNjc2ODgyNGFkaXF6a2N4|2010-01-11|Change of director's details|Director's details changed for Mr Christopher Michael Pank on 2010-01-01||Change of director's details|https://opencorporates.com/statements/270692889|CH01|x
D|73092|03319463|270692882|MzAwNjc2OTQ3MWFkaXF6a2N4|2010-01-11|Annual Return|Annual return made up to 2009-12-29 with full list of shareholders||Annual Return|https://opencorporates.com/statements/270692882|AR01|x
D|73092|03319463|270692885|MzAwNjc2ODgyNmFkaXF6a2N4|2010-01-11|Change of director's details|Director's details changed for Mr Peter Vincent Pank on 2010-01-01||Change of director's details|https://opencorporates.com/statements/270692885|CH01|x
D|73092|03319463|270692887|MzAwNjc2ODgyNWFkaXF6a2N4|2010-01-11|Change of director's details|Director's details changed for Mrs Honor Ruth Pank on 2010-01-01||Change of director's details|https://opencorporates.com/statements/270692887|CH01|x
D|73092|03319463|270692891|MzAwMDk0NjA1OGFkaXF6a2N4|2009-10-17|Annual Accounts|Accounts for a small company made up to 2009-03-31||Annual Accounts|https://opencorporates.com/statements/270692891|AA|x
D|73092|03319463|270692893|MjAyMjkzNzA2MGFkaXF6a2N4|2009-01-09|Filing dated 2009-01-09|Return made up to 29/12/08; full list of members|||https://opencorporates.com/statements/270692893|363a|x
D|73092|03319463|270692896|MjAyMTUyOTMwOWFkaXF6a2N4|2008-12-28|Annual Accounts|Accounts for a small company made up to 2008-03-31||Annual Accounts|https://opencorporates.com/statements/270692896|AA|x
D|73092|03319463|270692899|MDE5MDMxMDIyMmFkaXF6a2N4|2008-01-07|Filing dated 2008-01-07|Return made up to 29/12/07; full list of members|||https://opencorporates.com/statements/270692899|363a|x
D|73092|03319463|270692901|MDE5MDU2ODM1MGFkaXF6a2N4|2008-01-07|Filing dated 2008-01-07|Director's particulars changed|||https://opencorporates.com/statements/270692901|288c|x
D|73092|03319463|270692904|MDE4NjU2MTczMmFkaXF6a2N4|2007-10-12|Annual Accounts|Accounts for a small company made up to 2007-03-31||Annual Accounts|https://opencorporates.com/statements/270692904|AA|x
D|73092|03319463|270692907|MDE3NTM5NzQ0NmFkaXF6a2N4|2007-01-25|Annual Accounts|Accounts for a small company made up to 2006-03-31||Annual Accounts|https://opencorporates.com/statements/270692907|AA|x
D|73092|03319463|270692909|MDE3NDU0Mzc1NGFkaXF6a2N4|2007-01-16|Filing dated 2007-01-16|Return made up to 29/12/06; full list of members|||https://opencorporates.com/statements/270692909|363a|x
D|73092|03319463|270692911|MDE2MzQwODQ5NWFkaXF6a2N4|2006-07-17|Filing dated 2006-07-17|New director appointed|||https://opencorporates.com/statements/270692911|288a|x
D|73092|03319463|270692913|MDE1ODcwOTk5OGFkaXF6a2N4|2006-03-17|Filing dated 2006-03-17|Return made up to 17/02/06; full list of members|||https://opencorporates.com/statements/270692913|363a|x
D|73092|03319463|270692915|MDE1NDM4NTA0OGFkaXF6a2N4|2006-02-02|Annual Accounts|Accounts for a small company made up to 2005-03-31||Annual Accounts|https://opencorporates.com/statements/270692915|AA|x
D|73092|03319463|270692917|MDA0OTY3ODYwMWFkaXF6a2N4|2005-03-03|Filing dated 2005-03-03|Return made up to 17/02/05; full list of members|||https://opencorporates.com/statements/270692917|363s|x
D|669699|02735963|277249265|MzEzNDY2Mjg2NWFkaXF6a2N4|2015-11-06|Annual Accounts|Total exemption small company accounts made up to 2015-07-31||Annual Accounts|https://opencorporates.com/statements/277249265|AA|x
D|669699|02735963|277249268|MzEyODM3MjI5OGFkaXF6a2N4|2015-08-04|Annual Return|Annual return made up to 2015-07-30 with full list of shareholders||Annual Return|https://opencorporates.com/statements/277249268|AR01|x
D|669699|02735963|133060352|MzEyODM3MjI5OGFkaXF6a2N4|2015-08-04|Annual Return|Annual return made up to 2015-07-30 with full list of shareholders||Annual Return|https://opencorporates.com/statements/133060352|AR01|x
D|669699|02735963|277249271|MzExMDQyMjYxMmFkaXF6a2N4|2014-10-30|Annual Accounts|Total exemption small company accounts made up to 2014-07-31||Annual Accounts|https://opencorporates.com/statements/277249271|AA|x
D|669699|02735963|133060354|MzExMDQyMjYxMmFkaXF6a2N4|2014-10-30|Annual Accounts|Total exemption small company accounts made up to 2014-07-31||Annual Accounts|https://opencorporates.com/statements/133060354|AA|x
D|669699|02735963|133060356|MzEwNTQzMzI0N2FkaXF6a2N4|2014-08-12|Annual Return|Annual return made up to 2014-07-30 with full list of shareholders||Annual Return|https://opencorporates.com/statements/133060356|AR01|x
D|669699|02735963|277249274|MzEwNTQzMzI0N2FkaXF6a2N4|2014-08-12|Annual Return|Annual return made up to 2014-07-30 with full list of shareholders||Annual Return|https://opencorporates.com/statements/277249274|AR01|x
D|669699|02735963|133060358|MzA5OTE1OTcxOWFkaXF6a2N4|2014-04-30|Termination of appointment of director |Termination of appointment of Graham Wilson as a director||Termination of appointment of director |https://opencorporates.com/statements/133060358|TM01|x
D|669699|02735963|277249277|MzA5OTE1OTcxOWFkaXF6a2N4|2014-04-30|Termination of appointment of director |Termination of appointment of Graham Wilson as a director||Termination of appointment of director |https://opencorporates.com/statements/277249277|TM01|x
D|669699|02735963|133060361|MzA5MDg5NjkwOWFkaXF6a2N4|2013-12-17|Annual Accounts|Total exemption small company accounts made up to 2013-07-31||Annual Accounts|https://opencorporates.com/statements/133060361|AA|x
D|669699|02735963|277249280|MzA5MDg5NjkwOWFkaXF6a2N4|2013-12-17|Annual Accounts|Total exemption small company accounts made up to 2013-07-31||Annual Accounts|https://opencorporates.com/statements/277249280|AA|x
D|669699|02735963|277249283|MzA4MzU2Nzk5OGFkaXF6a2N4|2013-08-20|Annual Return|Annual return made up to 2013-07-30 with full list of shareholders||Annual Return|https://opencorporates.com/statements/277249283|AR01|x
D|669699|02735963|133060364|MzA4MzU2Nzk5OGFkaXF6a2N4|2013-08-20|Annual Return|Annual return made up to 2013-07-30 with full list of shareholders||Annual Return|https://opencorporates.com/statements/133060364|AR01|x
D|669699|02735963|133060366|MzA2NzgxMjc2N2FkaXF6a2N4|2012-11-20|Annual Accounts|Total exemption small company accounts made up to 2012-07-31||Annual Accounts|https://opencorporates.com/statements/133060366|AA|x
D|669699|02735963|277249287|MzA2NzgxMjc2N2FkaXF6a2N4|2012-11-20|Annual Accounts|Total exemption small company accounts made up to 2012-07-31||Annual Accounts|https://opencorporates.com/statements/277249287|AA|x
D|669699|02735963|133060368|MzA2MjMxNDUyNWFkaXF6a2N4|2012-08-13|Annual Return|Annual return made up to 2012-07-30 with full list of shareholders||Annual Return|https://opencorporates.com/statements/133060368|AR01|x
D|669699|02735963|277249290|MzA2MjMxNDUyNWFkaXF6a2N4|2012-08-13|Annual Return|Annual return made up to 2012-07-30 with full list of shareholders||Annual Return|https://opencorporates.com/statements/277249290|AR01|x
D|669699|02735963|277249294|MzA0OTA2MTQ3NWFkaXF6a2N4|2011-12-15|Annual Accounts|Accounts for a small company made up to 2011-07-31||Annual Accounts|https://opencorporates.com/statements/277249294|AA|x
D|669699|02735963|133060370|MzA0OTA2MTQ3NWFkaXF6a2N4|2011-12-15|Annual Accounts|Accounts for a small company made up to 2011-07-31||Annual Accounts|https://opencorporates.com/statements/133060370|AA|x
D|669699|02735963|277249296|MzA0MTQ2MjE3MmFkaXF6a2N4|2011-08-02|Annual Return|Annual return made up to 2011-07-30 with full list of shareholders||Annual Return|https://opencorporates.com/statements/277249296|AR01|x
D|669699|02735963|133060372|MzA0MTQ2MjE3MmFkaXF6a2N4|2011-08-02|Annual Return|Annual return made up to 2011-07-30 with full list of shareholders||Annual Return|https://opencorporates.com/statements/133060372|AR01|x
D|669699|02735963|277249299|MzAyOTU4Nzc4MmFkaXF6a2N4|2010-12-31|Annual Accounts|Accounts for a small company made up to 2010-07-31||Annual Accounts|https://opencorporates.com/statements/277249299|AA|x
D|669699|02735963|133060373|MzAyOTU4Nzc4MmFkaXF6a2N4|2010-12-31|Annual Accounts|Accounts for a small company made up to 2010-07-31||Annual Accounts|https://opencorporates.com/statements/133060373|AA|x
D|669699|02735963|133060376|MzAyMDUyOTQwMmFkaXF6a2N4|2010-07-30|Annual Return|Annual return made up to 2010-07-30 with full list of shareholders||Annual Return|https://opencorporates.com/statements/133060376|AR01|x
D|669699|02735963|133060379|MzAyMDUyOTI2MWFkaXF6a2N4|2010-07-30|Change of director's details|Director's details changed for Graham Wilson on 2010-07-30||Change of director's details|https://opencorporates.com/statements/133060379|CH01|x
D|669699|02735963|277249304|MzAyMDUyOTI2MWFkaXF6a2N4|2010-07-30|Change of director's details|Director's details changed for Graham Wilson on 2010-07-30||Change of director's details|https://opencorporates.com/statements/277249304|CH01|x
D|669699|02735963|277249300|MzAyMDUyOTQwMmFkaXF6a2N4|2010-07-30|Annual Return|Annual return made up to 2010-07-30 with full list of shareholders||Annual Return|https://opencorporates.com/statements/277249300|AR01|x
D|669699|02735963|277249306|MzAwNjcxOTE1OGFkaXF6a2N4|2010-01-09|Annual Accounts|Accounts for a small company made up to 2009-07-31||Annual Accounts|https://opencorporates.com/statements/277249306|AA|x
D|669699|02735963|133060381|MzAwNjcxOTE1OGFkaXF6a2N4|2010-01-09|Annual Accounts|Accounts for a small company made up to 2009-07-31||Annual Accounts|https://opencorporates.com/statements/133060381|AA|x
D|669699|02735963|133060383|MjAzODIyNzg4NmFkaXF6a2N4|2009-07-30|Filing dated 2009-07-30|Return made up to 30/07/09; full list of members|||https://opencorporates.com/statements/133060383|363a|x
D|1301805|0910858|304981489|MzEzOTY3MDQ1M2FkaXF6a2N4|2016-01-13|Termination of appointment of director |Termination of appointment of Ulf Ake Jonasson as a director on 2016-01-13||Termination of appointment of director |https://opencorporates.com/statements/304981489|TM01|x
D|1301805|0910858|304981490|MzEzNzkwMjE4MmFkaXF6a2N4|2015-12-18|Termination of appointment of director |Termination of appointment of Neil Anthony Davis as a director on 2015-12-18||Termination of appointment of director |https://opencorporates.com/statements/304981490|TM01|x
D|1301805|0910858|279182097|MzEzMjY4NTkzNWFkaXF6a2N4|2015-10-14|Annual Accounts|Full accounts made up to 2014-12-31||Annual Accounts|https://opencorporates.com/statements/279182097|AA|x
D|1301805|0910858|279182098|MzEyOTU0NDQ5MGFkaXF6a2N4|2015-08-24|Annual Return|Annual return made up to 2015-08-24 with full list of shareholders||Annual Return|https://opencorporates.com/statements/279182098|AR01|x
D|1301805|0910858|134267963|MzEyOTU0NDQ5MGFkaXF6a2N4|2015-08-24|Annual Return|Annual return made up to 2015-08-24 with full list of shareholders||Annual Return|https://opencorporates.com/statements/134267963|AR01|x
D|1301805|0910858|134267965|MzExODA3MzcxM2FkaXF6a2N4|2015-02-25|Appointment of director|Appointment of Mr James Stevenson Whyte as a director on 2015-02-25||Appointment of director|https://opencorporates.com/statements/134267965|AP01|x
D|1301805|0910858|279182099|MzExODA3MzcxM2FkaXF6a2N4|2015-02-25|Appointment of director|Appointment of Mr James Stevenson Whyte as a director on 2015-02-25||Appointment of director|https://opencorporates.com/statements/279182099|AP01|x
D|1301805|0910858|134267967|MzEwODc2OTU5MGFkaXF6a2N4|2014-10-06|Annual Accounts|Full accounts made up to 2013-12-31||Annual Accounts|https://opencorporates.com/statements/134267967|AA|x
D|1301805|0910858|279182100|MzEwODc2OTU5MGFkaXF6a2N4|2014-10-06|Annual Accounts|Full accounts made up to 2013-12-31||Annual Accounts|https://opencorporates.com/statements/279182100|AA|x
D|1301805|0910858|279182101|MzEwNjI2MDQ0NWFkaXF6a2N4|2014-08-28|Annual Return|Annual return made up to 2014-08-24 with full list of shareholders||Annual Return|https://opencorporates.com/statements/279182101|AR01|x
D|1301805|0910858|134267970|MzEwNjI2MDQ0NWFkaXF6a2N4|2014-08-28|Annual Return|Annual return made up to 2014-08-24 with full list of shareholders||Annual Return|https://opencorporates.com/statements/134267970|AR01|x
D|1301805|0910858|279182102|MzA4NzA2MjU5MmFkaXF6a2N4|2013-10-16|Change of registered office address|Registered office address changed from  Washington House Brooklands Close Sunbury on Thames Middlesex TW16 7EQ on 2013-10-16||Change of registered office address|https://opencorporates.com/statements/279182102|AD01|x
D|1301805|0910858|134267972|MzA4NzA2MjU5MmFkaXF6a2N4|2013-10-16|Change of registered office address|Registered office address changed from  Washington House Brooklands Close Sunbury on Thames Middlesex TW16 7EQ on 2013-10-16||Change of registered office address|https://opencorporates.com/statements/134267972|AD01|x
D|1301805|0910858|134267974|MzA4NTU3NjA0NmFkaXF6a2N4|2013-09-23|Annual Accounts|Full accounts made up to 2012-12-31||Annual Accounts|https://opencorporates.com/statements/134267974|AA|x
D|1301805|0910858|279182103|MzA4NTU3NjA0NmFkaXF6a2N4|2013-09-23|Annual Accounts|Full accounts made up to 2012-12-31||Annual Accounts|https://opencorporates.com/statements/279182103|AA|x
D|1301805|0910858|134267976|MzA4NTI4MjMzN2FkaXF6a2N4|2013-09-18|Annual Return|Annual return made up to 2013-08-24 with full list of shareholders||Annual Return|https://opencorporates.com/statements/134267976|AR01|x
D|1301805|0910858|279182104|MzA4NTI4MjMzN2FkaXF6a2N4|2013-09-18|Annual Return|Annual return made up to 2013-08-24 with full list of shareholders||Annual Return|https://opencorporates.com/statements/279182104|AR01|x
D|1301805|0910858|279182107|MzA4MDAzODI0N2FkaXF6a2N4|2013-06-19|Termination of appointment of secretary|Termination of appointment of Anthony Jaques as a secretary||Termination of appointment of secretary|https://opencorporates.com/statements/279182107|TM02|x
D|1301805|0910858|134267979|MzA4MDAzODMzNmFkaXF6a2N4|2013-06-19|Appointment of secretary|Appointment of Ms Nichola Jade Chapman as a secretary||Appointment of secretary|https://opencorporates.com/statements/134267979|AP03|x
D|1301805|0910858|134267982|MzA4MDAzODI0N2FkaXF6a2N4|2013-06-19|Termination of appointment of secretary|Termination of appointment of Anthony Jaques as a secretary||Termination of appointment of secretary|https://opencorporates.com/statements/134267982|TM02|x
D|1301805|0910858|279182105|MzA4MDAzODMzNmFkaXF6a2N4|2013-06-19|Appointment of secretary|Appointment of Ms Nichola Jade Chapman as a secretary||Appointment of secretary|https://opencorporates.com/statements/279182105|AP03|x
D|1301805|0910858|279182108|MzA3OTc3MzM3MGFkaXF6a2N4|2013-06-14|Appointment of director|Appointment of Mr Neil Anthony Davis as a director||Appointment of director|https://opencorporates.com/statements/279182108|AP01|x
D|1301805|0910858|134267985|MzA3OTc3MzM3MGFkaXF6a2N4|2013-06-14|Appointment of director|Appointment of Mr Neil Anthony Davis as a director||Appointment of director|https://opencorporates.com/statements/134267985|AP01|x
D|1301805|0910858|279182110|MzA3OTczNDg0NGFkaXF6a2N4|2013-06-13|Appointment of director|Appointment of Mr Paul Barrie Hunt as a director||Appointment of director|https://opencorporates.com/statements/279182110|AP01|x
D|1301805|0910858|134267988|MzA3OTczNDg0NGFkaXF6a2N4|2013-06-13|Appointment of director|Appointment of Mr Paul Barrie Hunt as a director||Appointment of director|https://opencorporates.com/statements/134267988|AP01|x
D|1301805|0910858|279182111|MzA3MDk2MTczOWFkaXF6a2N4|2013-01-11|Certificate of Incorporation on Change of Name|Certificate of change of name||Certificate of Incorporation on Change of Name|https://opencorporates.com/statements/279182111|CERTNM|x
D|1301805|0910858|134267991|MzA3MDk2MTczOWFkaXF6a2N4|2013-01-11|Certificate of Incorporation on Change of Name|Certificate of change of name||Certificate of Incorporation on Change of Name|https://opencorporates.com/statements/134267991|CERTNM|x
D|1301805|0910858|134267993|MzA2MzE2Mzk3MWFkaXF6a2N4|2012-08-29|Annual Return|Annual return made up to 2012-08-24 with full list of shareholders||Annual Return|https://opencorporates.com/statements/134267993|AR01|x
D|1301805|0910858|279182112|MzA2MzE2Mzk3MWFkaXF6a2N4|2012-08-29|Annual Return|Annual return made up to 2012-08-24 with full list of shareholders||Annual Return|https://opencorporates.com/statements/279182112|AR01|x
D|1301805|0910858|134267996|MzA1OTE1MjQxOWFkaXF6a2N4|2012-06-14|Annual Accounts|Full accounts made up to 2011-12-31||Annual Accounts|https://opencorporates.com/statements/134267996|AA|x
D|308778|04273754|306406899|MzEzOTExNTAwN2FkaXF6a2N4|2016-01-06|Certificate of Incorporation on Change of Name|Certificate of change of name||Certificate of Incorporation on Change of Name|https://opencorporates.com/statements/306406899|CERTNM|x
D|308778|04273754|306406900|TDRORkdFUVBhZGlxemtjeA|2015-12-31|Filing dated 2015-12-31|Resolutions|||https://opencorporates.com/statements/306406900|RESOLUTIONS|x
D|308778|04273754|306406901|MzEzODcwMzc2MGFkaXF6a2N4|2015-12-31|Application by a public company for re-registration as a private limited company|Re-registration from a public company to a private limited company||Application by a public company for re-registration as a private limited company|https://opencorporates.com/statements/306406901|RR02|x
D|308778|04273754|306406902|MzEzODcwMzMyOGFkaXF6a2N4|2015-12-31|Certificate of Incorporation on Change of Name|Certificate of change of name||Certificate of Incorporation on Change of Name|https://opencorporates.com/statements/306406902|CERTNM|x
D|308778|04273754|252321957|MzEyOTc0ODM2OWFkaXF6a2N4|2015-08-26|Annual Return|Annual return made up to 2015-08-20 with full list of shareholders||Annual Return|https://opencorporates.com/statements/252321957|AR01|x
D|308778|04273754|252321958|MzEyNDM1Mzc0OWFkaXF6a2N4|2015-06-02|Statement of companys objects|Statement of company's objects||Statement of companys objects|https://opencorporates.com/statements/252321958|CC04|x
D|308778|04273754|252321959|TDQ3VUlLQ1dhZGlxemtjeA|2015-06-02|Filing dated 2015-06-02|Resolutions|||https://opencorporates.com/statements/252321959|RESOLUTIONS|x
D|308778|04273754|252321960|MzExOTY2Njg0M2FkaXF6a2N4|2015-03-26|Annual Accounts|Full accounts made up to 2014-12-31||Annual Accounts|https://opencorporates.com/statements/252321960|AA|x
D|308778|04273754|252321961|MzExNzM4MDA2MGFkaXF6a2N4|2015-02-16|Termination of appointment of director |Termination of appointment of Martin Clive Pitt as a director on 2015-02-16||Termination of appointment of director |https://opencorporates.com/statements/252321961|TM01|x
D|308778|04273754|252321962|MzExMDM2OTczN2FkaXF6a2N4|2014-10-29|Termination of appointment of director |Termination of appointment of Graham Alexander Shennan as a director on 2014-10-29||Termination of appointment of director |https://opencorporates.com/statements/252321962|TM01|x
D|308778|04273754|252321963|MzEwNzczMTQwOWFkaXF6a2N4|2014-09-18|Annual Return|Annual return made up to 2014-08-20 with full list of shareholders||Annual Return|https://opencorporates.com/statements/252321963|AR01|x
D|308778|04273754|252321964|MzEwNDYwNzI1OWFkaXF6a2N4|2014-07-29|Change of director's details|Director's details changed for Nicholas Andrew Fletcher on 2014-07-29||Change of director's details|https://opencorporates.com/statements/252321964|CH01|x
