H|vendor_id|supplier_name|supplier_id|addr_line1|addr_line2|addr_line3|addr_post_town|addr_postcode|supplier_legal_form|close_date|open_date|accounts_category|accounts_next_due_date|dummy data
D|125979|03726880|ANGLIAN INSULATIONS LIMITED|BANKSIDE 300 PEACHMAN WAY|BROADLAND BUSINESS PARK||NORWICH|NR7 0LB|Private Limited Company|04/03/1999||TOTAL EXEMPTION SMALL|30/06/2016|x
D|134368|02591237|VIRGIN MEDIA LIMITED|MEDIA HOUSE|BARTLEY WOOD BUSINESS PARK||HOOK|RG27 9UP|Private Limited Company|13/03/1991||FULL|30/09/2016|x
D|71704|01197246|BALFOUR BEATTY REGIONAL CONSTRUCTION LIMITED|5 CHURCHILL PLACE|CANARY WHARF||LONDON|E14 5HU|Private Limited Company|21/01/1975||FULL|30/09/2016|x
D|152764|06133379|NOVUM STRUCTURES UK LIMITED|8 HOPPER WAY, DISS BUSINESS PARK|DISS||NORFOLK|IP22 4GT|Private Limited Company|01/03/2007||GROUP|30/09/2016|x
D|72865|01895836|P BOWYER ASSOCIATES LIMITED|33 MAHONEY GREEN|GREEN LANE WEST RACKHEATH||NORWICH|NR13 6JY|Private Limited Company|15/03/1985||TOTAL EXEMPTION SMALL|31/03/2017|x
D|179148|02888808|NORSE COMMERCIAL SERVICES LIMITED|LANCASTER HOUSE|16 CENTRAL AVENUE||ST ANDREWS BUSINESS PARK|NR7 0HR|Private Limited Company|18/01/1994||GROUP|31/12/2016|x
D|425298|06500610|RISE SCAFFOLD SERVICES LIMITED|RISE ACER ROAD|SADDLEBOW||KING'S LYNN|PE34 3HN|Private Limited Company|12/02/2008||TOTAL EXEMPTION SMALL|31/10/2016|x
D|1820759|01952517|TYCO FIRE & INTEGRATED SOLUTIONS (UK) LIMITED|TYCO PARK|GRIMSHAW LANE||NEWTON HEATH|M40 2WL|Private Limited Company|03/10/1985||FULL|30/06/2016|x
D|68207|00403796|DERSINGHAM BUILDING & CONTRACTING COMPANY,LIMITED|48 KING STREET|KING'S LYNN||NORFOLK|PE30 1HE|Private Limited Company|29/01/1946||TOTAL EXEMPTION SMALL|30/09/2016|x
D|74920|01189799|STANNAH LIFT SERVICES LIMITED|WATT CLOSE|EAST PORTWAY||ANDOVER|SP10 3SD|Private Limited Company|07/11/1974||FULL|30/09/2016|x
D|1178828|08610884|EMJAY PLUMBING & HEATING LIMITED|10 UPLANDS AVENUE|CAISTER ON SEA||GREAT YARMOUTH|NR30 5JU|Private Limited Company|16/07/2013||TOTAL EXEMPTION SMALL|30/04/2017|x
D|67580|02644726|COLAS LIMITED|WALLAGE LANE|ROWFANT||CRAWLEY|RH10 4NF|Private Limited Company|11/09/1991||GROUP|30/09/2016|x
D|178047|06490473|NEVILLE GODFREY LIMITED|36-38 KING STREET|KINGS LYNN||NORFOLK|PE30 1ES|Private Limited Company|31/01/2008||TOTAL EXEMPTION SMALL|30/11/2016|x
D|71142|02415345|LEES FLOORING LIMITED|HIGH ROAD|DRAYTON||NORWICH|NR8 6AH|Private Limited Company|21/08/1989||SMALL|31/12/2016|x
D|65998|04474369|ALAN R CROSS & SON LTD|22A STATION ROAD|WYMONDHAM||NORFOLK|NR18 0JX|Private Limited Company|01/07/2002||TOTAL EXEMPTION SMALL|29/02/2016|x
D|185154|05754431|HICKS FLOORING LIMITED|UNIT 10 HAVERSCROFT INDUSTRIAL ESTATE|NEW ROAD||ATTLEBOROUGH|NR17 1YE|Private Limited Company|23/03/2006||TOTAL EXEMPTION SMALL|31/12/2016|x
D|76128|04203587|WAVENEY GLASS COMPANY LIMITED|NUMBER SIXTY ONE|ALEXANDRA ROAD||LOWESTOFT|NR32 1PL|Private Limited Company|23/04/2001||TOTAL EXEMPTION SMALL|31/03/2017|x
D|65998|04474369|ALAN R CROSS & SON LTD|22A STATION ROAD|WYMONDHAM||NORFOLK|NR18 0JX|Private Limited Company|01/07/2002||TOTAL EXEMPTION SMALL|29/02/2016|x
D|74643|03823424|SMITH BUILDING SERVICES LIMITED|63 BERGEN WAY|NORTH LYNN INDUSTRIAL ESTATE||KING'S LYNN|PE30 2JG|Private Limited Company|11/08/1999||TOTAL EXEMPTION SMALL|31/05/2016|x
D|73491|03822195|QUEENSBURY SHELTERS LIMITED|QUEENSBURY HOUSE|FITZHERBERT ROAD||PORTSMOUTH|PO6 1SE|Private Limited Company|09/08/1999||FULL|30/09/2016|x
D|Redacted|05851226|PROFESSIONAL CABLING SOLUTIONS LIMITED|77 BAYLIS ROAD|||SLOUGH|SL1 3PH|Private Limited Company|20/06/2006||TOTAL EXEMPTION SMALL|31/03/2017|x
D|66037|03566155|ALI SYSTEMS LIMITED|20 CENTRAL AVENUE|ST ANDREWS BUSINESS PARK||NORWICH|NR7 0HR|Private Limited Company|18/05/1998||TOTAL EXEMPTION SMALL|31/03/2017|x
D|74592|04198308|SILENSTER BUILDING SERVICES LIMITED|THE OLD STABLES|HOCKWOLD LODGE||HOCKWOLD THETFORD|IP26 4JQ|Private Limited Company|11/04/2001||TOTAL EXEMPTION SMALL|31/01/2017|x
D|67308|04557728|CARL BIRD LIMITED|23 GRAMMAR SCHOOL ROAD|NORTH WALSHAM||NORFOLK|NR28 9JH|Private Limited Company|09/10/2002||TOTAL EXEMPTION SMALL|31/12/2016|x
D|141065|05405140|ANGLIAN DEMOLITION & ASBESTOS LIMITED|ANGLIAN BUSINESS CENTRE|WEST CARR ROAD||ATTLEBOROUGH|NR17 1AN|Private Limited Company|29/03/2005||TOTAL EXEMPTION SMALL|28/02/2017|x
D|66161|02398030|ANGLO SCOTTISH EQUIPMENT (SOUTHERN) LTD.|THE ACCOMODATION CENTRE|HOLT ROAD||FAKENHAM|NR21 8JH|Private Limited Company|23/06/1989||TOTAL EXEMPTION SMALL|30/06/2016|x
D|74592|04198308|SILENSTER BUILDING SERVICES LIMITED|THE OLD STABLES|HOCKWOLD LODGE||HOCKWOLD THETFORD|IP26 4JQ|Private Limited Company|11/04/2001||TOTAL EXEMPTION SMALL|31/01/2017|x
F|453
