supplier_name,org_type,total_spend,YYYY
PARSONS DOWD PSYCHOLOGICAL LIMITED,SMALL BUSINESS,10795.94,2011
KEL COMPUTING LIMITED,SMALL BUSINESS,2330,2013
PINEBIRD VENTURES LIMITED,SMALL BUSINESS,15000,2013
FOUR SEASONS HOMES NO.4 LIMITED,MEDIUM / LARGE,1240803.54,2011
G.T.MORRISON LIMITED,SMALL BUSINESS,12052.5,2011
WAVENEY TRUCK PARTS LIMITED,SMALL BUSINESS,4973.52,2011
MEDICARE CORPORATION LTD,SMALL BUSINESS,759627.26,2011
GUYAN EXECUTIVE TRAVEL LIMITED,SMALL BUSINESS,22733.76,2013
ELM PLUMBING AND HEATING SERVICES (EAST ANGLIA) LIMITED,,3231.66,2013
ASSOCIATE DEVELOPMENT SOLUTIONS LTD,SMALL BUSINESS,16800,2012
CDSM INTERACTIVE SOLUTIONS LTD,SMALL BUSINESS,8000,2013
AYLSHAM LODGE HOTEL LTD,NOT DEFINED,4260,2013
ITS DESIGNS LIMITED,SMALL BUSINESS,1014.4,2013
THE REGARD PARTNERSHIP LIMITED,MEDIUM / LARGE,1832108.34,2013
PEARL LINGUISTICS LIMITED,MEDIUM / LARGE,43838.36,2011
EYE FILM AND TELEVISION LIMITED,SMALL BUSINESS,1240,2013
MHA & MCA LAW LIMITED,NOT DEFINED,3600,2013
CRYSTAL VISION LIMITED,SMALL BUSINESS,11544,2011
HOLYWELL PARK,,32428.58,2013
METROCOUNT (U.K.) LIMITED,SMALL BUSINESS,840,2012
ACCESS INTERIORS LIMITED,SMALL BUSINESS,26083.7,2013
NORVIC AMBULANCE SERVICES LIMITED,NOT DEFINED,1725,2013
STABLE TRADING LIMITED,MEDIUM / LARGE,31811.52,2011
ISS [LONDON) LTD,NOT DEFINED,35796,2012
HICKS FLOORING LIMITED,SMALL BUSINESS,978,2014
HOSPITALITY CALLS LTD,SMALL BUSINESS,70900,2011
EDEXCEL LIMITED,MEDIUM / LARGE,19578.5,2012
M. S. OAKES LIMITED,MEDIUM / LARGE,11054.84,2012
G.T. BUNNING & SONS LIMITED,MEDIUM / LARGE,1593.08,2012
BUILDERS EQUIPMENT LIMITED,SMALL BUSINESS,179249.08,2012
SMITHS GORE LIMITED,SMALL BUSINESS,53338.52,2012
POSTURITE (UK) LIMITED,NOT DEFINED,2210.24,2013
ACCESS TO MUSIC LIMITED,MEDIUM / LARGE,22440,2011
BRAEMAR HOWELLS LIMITED,MEDIUM / LARGE,6000,2012
FAREWAY TAXIS LIMITED,SMALL BUSINESS,5360,2012
ANGLIAN HEALTH & SAFETY SUPPLIES LIMITED,SMALL BUSINESS,69234.96,2011
HALE ALLEN JONES LLP,SMALL BUSINESS,1200,2012
P. SMITH BUILDING SERVICES LIMITED,SMALL BUSINESS,3840,2014
ONE SIX ONE LIMITED,MEDIUM / LARGE,250350.58,2014
EPIC ADVENTURE LTD,SMALL BUSINESS,14400,2012
REMINISCENCE CARE HOMES LIMITED,SMALL BUSINESS,150227.88,2014
EDUKEY EDUCATION LTD,MEDIUM / LARGE,1120,2013
W F HOWES LIMITED,MEDIUM / LARGE,157615.46,2012
ORMISTON VENTURE ACADEMY,EDUCATION,2200,2011
TG ESCAPES LTD,SMALL BUSINESS,97272,2013
MONTHIND CLEAN LLP,NOT DEFINED,11944.18,2013
NPS PROPERTY CONSULTANTS LIMITED,MEDIUM / LARGE,2504264.80000001,2012
MERCEDES-BENZ FINANCIAL SERVICES UK LIMITED,MEDIUM / LARGE,53814.66,2012
COACH SERVICES LIMITED,SMALL BUSINESS,1812865.84,2011
WHERE PEOPLE COME FIRST LTD,SMALL BUSINESS,3756.8,2013
HICKLING HOUSE,,791474.02,2014
CROMWELL TOOLS LIMITED,MEDIUM / LARGE,1755.8,2011
TECQUIPMENT LIMITED,MEDIUM / LARGE,51717.54,2011
EAST PUBLISHING LIMITED,SMALL BUSINESS,20000,2012
BB GARDEN EQUIPMENT,NOT DEFINED,33525.1,2012
CAREFIRST HEALTHCARE LIMITED,NOT DEFINED,37691.9,2011
REGIONAL FOSTER PLACEMENTS LIMITED,SMALL BUSINESS,323824.68,2012
VIX TECHNOLOGY LIMITED,MEDIUM / LARGE,110411,2013
Q ASSOCIATES LIMITED,MEDIUM / LARGE,45420.1,2012
T GROOME PLANT HIRE LIMITED,MEDIUM / LARGE,76300,2012
TILLS INNOVATIONS LIMITED,SMALL BUSINESS,6318,2013
SICON LIMITED,SMALL BUSINESS,18693.8,2012
JP CHICK & PARTNERS LIMITED,SMALL BUSINESS,4406.5,2012
ORMEROD HOME TRUST LIMITED (THE),MEDIUM / LARGE,22476.48,2014
HM COURTS & TRIBUNALS SERVICE,,1000,2014
LIBRE LIVING LIMITED,SMALL BUSINESS,3417.7,2013
CRAFTSMAN FURNITURE LIMITED,MEDIUM / LARGE,24692,2014
LITTLE FOOTSTEPS OF DEREHAM LTD,NOT DEFINED,9968.6,2013
REGAL CARE TRADING LTD,NOT DEFINED,12570,2012
CEPHAS CARE LIMITED,SMALL BUSINESS,835035.24,2012
MONKFIELD NUTRITION LIMITED,MEDIUM / LARGE,2177.64,2011
MOTT MACDONALD LIMITED,MEDIUM / LARGE,5258936.18000001,2011
4SPORTS & ENTERTAINMENT UK LIMITED,MEDIUM / LARGE,50129.16,2013
CRYSTAL CARE SOLUTIONS LIMITED,SMALL BUSINESS,5278.56,2011
EAST COAST DRIVER TRAINING LTD,,10677.28,2014
ELIZABETH JARMAN TRAINING LIMITED,SMALL BUSINESS,116815.82,2011
CUMMINGS & GOINGS TAXIS LIMITED,NOT DEFINED,82110,2013
COACHING WORKS 4 ME LIMITED,SMALL BUSINESS,1711.52,2012
SANFORD HOUSE LIMITED,MEDIUM / LARGE,596916.939999999,2011
MARSHLAND FEN FARMING COMPANY LIMITED,SMALL BUSINESS,166752,2013
ALLEN & OVERY LLP,MEDIUM / LARGE,27073.92,2014
AVIE NETWORKS LIMITED,SMALL BUSINESS,15824.1,2011
AUDIOGO LIMITED,MEDIUM / LARGE,216574.78,2011
CORDERCARE LTD,NOT DEFINED,74016.28,2014
AKARI CARE GROUP LIMITED,MEDIUM / LARGE,118671.52,2013
WOODWAY ENGINEERING LIMITED,MEDIUM / LARGE,16085.14,2011
ROBINS 1960 LIMITED,,15048,2013
POTCLAYS LIMITED,SMALL BUSINESS,1059.9,2013
FARM GUIDANCE LIMITED,SMALL BUSINESS,65472.8,2011
SUPPORT EAST LIMITED,NOT DEFINED,23773.68,2013
WAVENEY AREA COMMUNITY TRANSPORT,MEDIUM / LARGE,53867.76,2011
LITTLE LINGUIST LIMITED,SMALL BUSINESS,1103.48,2012
ABBEY FIRE (UK) LIMITED,SMALL BUSINESS,9144.7,2014
MUSEUM OF EAST ANGLIAN LIFE,CHARITY,20974.96,2011
GREAT HOSPITAL,CHARITY,1066,2012
RUNWOOD HOMES LIMITED,MEDIUM / LARGE,783507.14,2012
GRAHAM'S TAXIS (NORFOLK) LTD,SMALL BUSINESS,164379.04,2011
WASTE RECYCLING GROUP (UK) LIMITED,MEDIUM / LARGE,13723450.84,2012
B&W STUDIO LIMITED,SMALL BUSINESS,2790,2013
UNITED LIFTING TECHNOLOGY LIMITED,SMALL BUSINESS,1960,2014
STARR PERFORMANCE LIMITED,SMALL BUSINESS,1072,2013
THE NATIONAL TEACHING & ADVISORY SERVICE LIMITED,SMALL BUSINESS,25200,2012
RIDGEONS LIMITED,MEDIUM / LARGE,17820.84,2012
LGG CHARLESWORTH LIMITED,SMALL BUSINESS,3052,2013
EVAC+CHAIR INTERNATIONAL LIMITED,MEDIUM / LARGE,4020,2012
FARM CONSERVATION LIMITED,NOT DEFINED,998,2012
SIEMENS PUBLIC LIMITED COMPANY,MEDIUM / LARGE,97769.2,2013
MAZARS LLP,MEDIUM / LARGE,7000,2011
TEAL FURNITURE LIMITED,MEDIUM / LARGE,7163.2,2011
JOHN FISHER (BROADCAST) LIMITED,SMALL BUSINESS,5885,2014
FAITH IN FAMILIES,SMALL BUSINESS,4336.3,2012
VECTORCOMMAND LIMITED,SMALL BUSINESS,30000,2012
KADESH EDUCATION LTD,SMALL BUSINESS,9700,2013
INNOGISTIC LTD,MEDIUM / LARGE,26200,2011
GL EDUCATION GROUP LIMITED,MEDIUM / LARGE,9864.9,2013
ST JOHN'S WINCHESTER CHARITY,CHARITY,31221.12,2012
FIRSTCAR LIMITED,SMALL BUSINESS,2940,2012
MORGAN SINDALL PLC,MEDIUM / LARGE,3071358.12,2011
LINCOLN HOUSE CARE HOME LTD,SMALL BUSINESS,243410.72,2014
HAAGEN FIRE TRAINING PRODUCTS LIMITED,SMALL BUSINESS,5890,2013
HOME GROUP LIMITED,NOT DEFINED,2960181.42,2014
TOBII DYNAVOX LIMITED,MEDIUM / LARGE,1401.86,2012
NORTHERN CARE GROUP LIMITED,NOT DEFINED,450430.66,2012
SUFFOLK COUNTY COUNCIL,,436128.76,2014
COLAN LIMITED,SMALL BUSINESS,6004.52,2012
CJ WELLINGS LTD,MEDIUM / LARGE,2550,2011
STUART GROUP LIMITED,MEDIUM / LARGE,8660,2012
APPLTEC LIMITED,SMALL BUSINESS,6250,2013
MYBARRISTER LTD,NOT DEFINED,2000,2013
LACIS LTD,SMALL BUSINESS,55366.22,2011
DYE'S PHARMACY LIMITED,SMALL BUSINESS,11002,2011
D.L.H. AUTORECYCLERS LIMITED,SMALL BUSINESS,48052.32,2011
NATIONAL YOUTH JAZZ ORCHESTRA LIMITED(THE),MEDIUM / LARGE,1100,2014
COZENS-HARDY & JEWSON LIMITED,NOT DEFINED,5540,2011
TXTNATION LIMITED,SMALL BUSINESS,1180,2012
AMBASSADOR TRAVEL (ANGLIA) LIMITED,MEDIUM / LARGE,810467.18,2012
HADLEY & OTTAWAY LIMITED,SMALL BUSINESS,3262,2011
T W WARD INDUSTRIAL BOILERS LIMITED,SMALL BUSINESS,2493.94,2014
STUDIO PARK LTD,SMALL BUSINESS,7670,2011
ALL TRADES TRAINING LIMITED,SMALL BUSINESS,1589968,2011
BARCHESTER HEALTHCARE LIMITED,MEDIUM / LARGE,614466.7,2011
COMPUTER AND DESIGN SERVICES LIMITED,SMALL BUSINESS,4790,2014
COLOPHON LIMITED,MEDIUM / LARGE,1100,2013
QUINTON CARE HOMES LIMITED,SMALL BUSINESS,299539.640000001,2012
AVON INFLATABLES LIMITED,MEDIUM / LARGE,19610,2011
COUNTRY HOUSE NURSING & RETIREMENT HOMES LIMITED,SMALL BUSINESS,133453.92,2014
YORK SURVEY SUPPLY CENTRE LIMITED,SMALL BUSINESS,1942.84,2014
FRENZY CREATIVE LTD,SMALL BUSINESS,1618.1,2011
G J L ANIMAL FEEDS LIMITED,SMALL BUSINESS,1203.5,2013
IMS (2007) LTD,NOT DEFINED,2726,2011
HERITAGE CARE LIMITED,MEDIUM / LARGE,5405581.22000001,2011
CONNECT GROUP PLC,MEDIUM / LARGE,700612.040000001,2012
HURN CHEMISTS LIMITED,NOT DEFINED,3352,2012
BOOKS & MEDIA FREIGHT LIMITED,SMALL BUSINESS,3500,2013
DORMY HOUSE,,17530.96,2012
DAVID HOLLIDAY LIMITED,SMALL BUSINESS,170940.92,2011
ELDER (U.K.) LTD.,MEDIUM / LARGE,23788.54,2013
ERAS LIMITED,SMALL BUSINESS,8300,2012
CAPITA TREASURY SOLUTIONS LIMITED,MEDIUM / LARGE,96470,2014
CIRCLELINE DESIGN LIMITED,SMALL BUSINESS,4380,2013
AMBER CARE (EAST ANGLIA) LTD,SMALL BUSINESS,958530.839999999,2011
WATLINGTON DRAIN RENOVATIONS LIMITED,SMALL BUSINESS,8940,2011
EAST COAST COMMUNITY HEALTHCARE C.I.C.,MEDIUM / LARGE,1087808.76,2012
NORWICH PEST CONTROL LIMITED,NOT DEFINED,2220,2012
MARKETING ABILITY LLP,SMALL BUSINESS,3370,2011
COPPERFIELD HOUSE LTD,SMALL BUSINESS,44700,2011
LOXIA CARE LIMITED,SMALL BUSINESS,1407944.56,2011
GEOMATRIX EARTH SCIENCE LIMITED,SMALL BUSINESS,4100,2012
VOCALVALE LIMITED,SMALL BUSINESS,14558.5,2012
TURNER & BUTCHER LIMITED,SMALL BUSINESS,186084.8,2011
RANNERLOW LIMITED,SMALL BUSINESS,48415,2011
TRAFFIC TECHNOLOGY LTD,SMALL BUSINESS,25907.76,2014
CLICK NETHERFIELD LIMITED,MEDIUM / LARGE,18614,2011
PRISM PRINT AND PROMOTIONS LIMITED,SMALL BUSINESS,1015,2012
TIMELINE AUCTIONS LTD,SMALL BUSINESS,47050,2011
MJM BUILDING SERVICES LTD,SMALL BUSINESS,4010,2013
ABACUS CARE (NORFOLK & SUFFOLK) LIMITED,,233906.28,2014
CLEVERCLOGS (LONGWATER) LIMITED,SMALL BUSINESS,21929.88,2012
SOLOR CARE GROUP LIMITED,MEDIUM / LARGE,190343.78,2011
ROBSON CONSTRUCTION LIMITED,SMALL BUSINESS,128726.94,2011
SAXLINGHAM HALL NURSING HOME LIMITED,SMALL BUSINESS,58659.66,2013
MLM CONSULTING ENGINEERS LIMITED,MEDIUM / LARGE,3860,2013
CLOSED LIMITED,MEDIUM / LARGE,3319.46,2012
BLUEPRINT MANAGEMENT SYSTEMS LIMITED,MEDIUM / LARGE,11738.88,2012
AMR MECHANICAL SERVICES LTD,NOT DEFINED,56682.82,2014
DOLPHIN COMPUTER ACCESS LIMITED,SMALL BUSINESS,19335,2012
KINGFISHER FOSTERING LIMITED,SMALL BUSINESS,39130,2013
BTO BAILIFF SERVICES LIMITED,SMALL BUSINESS,2000,2014
FIRST CAPITAL CONNECT LIMITED,MEDIUM / LARGE,2549.88,2013
SHEARD (UK) LLP,NOT DEFINED,5076,2013
RICARDO-AEA LIMITED,NOT DEFINED,22420,2014
BARNARDISTON HALL PREPARATORY SCHOOL,EDUCATION,150291.48,2012
BRINE SOFTWARE LTD,SMALL BUSINESS,12430.1,2013
COOKS BLINDS AND SHUTTERS LIMITED,SMALL BUSINESS,15743.58,2011
MICHELIN TYRE PUBLIC LIMITED COMPANY,MEDIUM / LARGE,8692.54,2012
BRECKLAND TRAVEL LIMITED,SMALL BUSINESS,69688,2012
NORSERVE LIMITED,SMALL BUSINESS,8601.4,2011
GREEN BRITAIN CENTRE LIMITED,MEDIUM / LARGE,3187.3,2012
TROBIUS LIMITED,SMALL BUSINESS,5427,2011
CIEVES LIMITED,SMALL BUSINESS,136049.92,2014
DIAMOND CARE (UK) LIMITED,SMALL BUSINESS,204413.22,2014
KENNEDYS 169 LIMITED,NOT DEFINED,-115032.28,2011
LEYTON HEALTHCARE (NO 5) LIMITED,SMALL BUSINESS,34640,2014
MERCADO MEDIC UK LIMITED,SMALL BUSINESS,4852,2011
EAST ANGLIAN STARS LIMITED,NOT DEFINED,25000,2013
UNITED HEALTH LIMITED,MEDIUM / LARGE,8467.92,2013
ELDRIDGE ELECTRICAL LIMITED,SMALL BUSINESS,24000,2011
R.HART CARE LIMITED,SMALL BUSINESS,22080,2013
WESTMINSTER HEALTH CARE NEW LIMITED,MEDIUM / LARGE,93063.02,2012
HAYMARKET PUBLISHING SERVICES LIMITED,MEDIUM / LARGE,2270,2013
EMERGENCY ONE (U.K.) LIMITED,MEDIUM / LARGE,1617.4,2014
CARL BIRD LIMITED,SMALL BUSINESS,84310.5,2011
APPLETON LODGE MANAGEMENT LIMITED,NOT DEFINED,546644.339999999,2012
WHITEHALL CARE LIMITED,MEDIUM / LARGE,654386.040000004,2012
BROADLANDS HALL,EDUCATION,335893.7,2013
JARK HEALTHCARE SERVICES LIMITED,MEDIUM / LARGE,23186.78,2011
GET MEDIA LTD,SMALL BUSINESS,6794,2011
BRITISH CYCLING EVENTS LTD,SMALL BUSINESS,9600,2011
STARFISH LIMITED,SMALL BUSINESS,9200,2013
ALDOUS ELECTRICAL LIMITED,SMALL BUSINESS,11645.08,2011
HUNT HEALTH CARE LIMITED,SMALL BUSINESS,124590.18,2011
WOLSELEY UK LIMITED,MEDIUM / LARGE,8730.42,2013
CAR-ES (UK) LIMITED,SMALL BUSINESS,8564.86,2012
DOOR SUPERVISOR TRAINING ORGANISATION LIMITED,SMALL BUSINESS,8160,2011
CYLIX LIMITED,SMALL BUSINESS,11394,2014
CITY ACADEMY NORWICH,MEDIUM / LARGE,2327.36,2014
WEX PHOTOGRAPHIC LIMITED,SMALL BUSINESS,1512,2014
FENLAND ADAPTIONS LIMITED,,61013.6,2013
ANGEL CARE HOMES LIMITED,SMALL BUSINESS,33610.72,2012
P.B. COMMUNICATIONS LTD,SMALL BUSINESS,65636.4799999999,2014
LAUDCARE LIMITED,MEDIUM / LARGE,28798.86,2011
ASHFORDS GROUNDS MAINTENANCE LTD,SMALL BUSINESS,6030,2012
FREESTONES COACHES LIMITED,MEDIUM / LARGE,504331.5,2011
SSDM HEALTHCARE PRIVATE LIMITED,,1102,2013
EXEMPLAR SERVICES UK LIMITED,SMALL BUSINESS,30062,2012
CATHEDRAL CABS LTD,NOT DEFINED,51517,2013
BABCOCK CAREERS MANAGEMENT LIMITED,MEDIUM / LARGE,13332,2011
TITLEY SCIENTIFIC (UK) LIMITED,NOT DEFINED,5200,2011
THE VALIDIUM GROUP LIMITED,SMALL BUSINESS,45233.6,2014
DESIGN SUPPLY LIMITED,SMALL BUSINESS,975,2012
CODELOCKS LIMITED,SMALL BUSINESS,848,2013
JD'S INTERNATIONAL LTD,SMALL BUSINESS,46000,2011
CROWN CARE & SUPPORT LIMITED,SMALL BUSINESS,331041,2012
SOLACE 2011 LIMITED,SMALL BUSINESS,0,2011
NEOPOST LIMITED,MEDIUM / LARGE,29958.5,2012
KENSINGTON LODGE LIMITED,NOT DEFINED,478582.319999999,2013
CBRE LIMITED,MEDIUM / LARGE,237609.54,2014
NORFOLK QUALITY CARE LTD,SMALL BUSINESS,30747.08,2014
R SONS (HOMES) LIMITED,MEDIUM / LARGE,231280.48,2014
NET CARE LINCOLNSHIRE LIMITED,SMALL BUSINESS,75162.72,2012
ANGEL STEPS CARE,,18334.8,2013
ORIGINAL ORGANICS LIMITED,SMALL BUSINESS,2481.46,2011
ENVIROLAB LIMITED,MEDIUM / LARGE,6650.6,2014
BMC EAST LIMITED,SMALL BUSINESS,140262.6,2013
RESPIREX INTERNATIONAL LIMITED,MEDIUM / LARGE,26705.9,2013
CENTRE FOR ASSESSMENT LIMITED,MEDIUM / LARGE,3270.76,2012
THE CROWN REST HOME,,22343.04,2012
JMP CONSULTANTS LIMITED,NOT DEFINED,3826.68,2012
SOUTH GREEN PARK LIMITED,SMALL BUSINESS,15598.98,2014
GENESIS RESIDENTIAL CARE HOME LIMITED,SMALL BUSINESS,260457.72,2011
APPROACH COMMUNITY HOMES LIMITED,SMALL BUSINESS,146614.72,2014
PUBLICOLA LIMITED,NOT DEFINED,1921,2013
NORWICH ACCOMMODATION LTD,SMALL BUSINESS,52670,2011
XP SOLUTIONS SOFTWARE LIMITED,SMALL BUSINESS,2686,2013
.BIG YELLOW SELF STORAGE COMPANY LIMITED,MEDIUM / LARGE,2793.46,2013
SARASIN & PARTNERS LLP,MEDIUM / LARGE,775510.76,2012
RUTH LEE LIMITED,SMALL BUSINESS,9778.62,2012
ADULT DAY CARE LTD,SMALL BUSINESS,67095.06,2014
E-LEARNING FOUNDATION,CHARITY,1100,2012
GASTANK LIMITED,SMALL BUSINESS,543939.679999999,2013
MANAGEMENT FUTURES LIMITED,SMALL BUSINESS,167440,2012
NATIONAL AUTISTIC SOCIETY(THE),MEDIUM / LARGE,12274,2014
REG BIO-POWER UK LIMITED,MEDIUM / LARGE,1357.56,2013
BARNARDO SERVICES LIMITED,MEDIUM / LARGE,42300,2014
DAUPHIN RESTORATION LIMITED,SMALL BUSINESS,1457.26,2012
THE BIRCHAM CENTRE,CHARITY,3000,2012
STEVE'S TAXIS (CARMARTHEN) LIMITED,NOT DEFINED,8460,2013
INSIGNIA LIMITED,SMALL BUSINESS,4653.12,2012
CARE UK HOMECARE LIMITED,MEDIUM / LARGE,4908511.62,2011
LANCASHIRE FIRE AUTHORITY,,4600,2011
ENCYCLOPAEDIA BRITANNICA (UK) LIMITED,MEDIUM / LARGE,16800,2013
MAYFAIR MARQUEES LIMITED,SMALL BUSINESS,1000,2013
ERGO COMPUTING UK LIMITED,MEDIUM / LARGE,115179,2014
PETANS LIMITED,CHARITY,14611.6,2012
JAFCO TOOLS LTD.,SMALL BUSINESS,29880.08,2011
GLAZEWING LIMITED,MEDIUM / LARGE,199.68,2014
THE LODGE CAREHOME LIMITED,NOT DEFINED,187088.8,2012
ATTOBUS LIMITED,NOT DEFINED,960,2014
THE TOUR OF BRITAIN LIMITED,SMALL BUSINESS,122000,2011
CLOVER CHILDCARE SERVICES LIMITED,SMALL BUSINESS,436398.72,2013
ALPHA ROOFING SERVICES LIMITED,SMALL BUSINESS,68449.88,2011
MISCO COMPUTER SUPPLIES LIMITED,NOT DEFINED,378788.260000001,2013
DX NETWORK SERVICES LIMITED,MEDIUM / LARGE,1507.96,2014
KEVIN O'BRIEN DRIVER TRAINING LTD,SMALL BUSINESS,18289.14,2014
ANDREW FREDERICK CARE LIMITED,MEDIUM / LARGE,2421414.99999999,2013
EAST OF ENGLAND TRADING STANDARDS ASSOCIATION LIMITED,SMALL BUSINESS,57669,2012
ACCESS COMMUNITY TRUST,MEDIUM / LARGE,57475.52,2014
DENVER MILL LIMITED,SMALL BUSINESS,1200,2012
THE PADDOCKS 1956 LIMITED,,32302.72,2014
NEATH PORT TALBOT COUNTY BOROUGH COUNCIL,,13138,2012
HAVAS PEOPLE LIMITED,MEDIUM / LARGE,314911.48,2014
PLAYFORCE LIMITED,MEDIUM / LARGE,32352,2011
DUN-BRI SERVICES LIMITED,SMALL BUSINESS,1305.92,2014
THORPE MARRIOTT VILLAGE HALL,CHARITY,1189.24,2013
FENNERS LIMITED,SMALL BUSINESS,464924.68,2012
QUENTOR LIMITED,SMALL BUSINESS,1337.8,2011
MARLOCO LIMITED,SMALL BUSINESS,38984,2012
CABLECADDY LIMITED,SMALL BUSINESS,8446.8,2011
VOLVO GROUP UK LIMITED,MEDIUM / LARGE,17155.22,2011
RELIANCE EMPLOYMENT LIMITED,SMALL BUSINESS,12400.48,2012
ACCESS INTELLIGENCE MEDIA AND COMMUNICATIONS LIMITED,MEDIUM / LARGE,13760,2012
BRECKLAND DISTRICT COUNCIL,,2372733.36,2011
C.P. DAVIDSON & SONS LIMITED,MEDIUM / LARGE,6552,2013
KLAIR HOUSE LTD,SMALL BUSINESS,653851.419999999,2011
