category,total_spend,YYYY
Highway Street Lighting Non-Routine Maintenance,90310.86,2011
School Academy Payments,1646374.2,2013
Hospitality Expenses,42763.36,2012
Internal Recharge Design,3772,2011
Gas (LPG) & other Heating Fuels,20346.52,2014
Sessional Fees,861946.800000001,2011
Internal Recharge Schools,9937.56,2014
EEC Subsidy To Contractor,28777.36,2011
Bmpp Minor Building Repairs,473496.06,2013
Other Hired & Contracted Services,23489626.22,2011
Construction Costs - Roads,72256477.78,2012
Enquiry Agents Fees,30695.78,2012
Private Voluntary Independent School Pre-school & Playgroup,701713.14,2014
Actuarial Fees-Investment,131950,2012
Direct Labour Organisation Plant,5959.34,2011
Service Level Agreement With Organisations Providing Services to NCC,22735115,2011
Recharge Other Service,2750.1,2011
Ext Highways - Utilities Trench & Cover Repairs,220668.54,2013
Construction Costs - Roads - Amey,152057.64,2014
Highway Street Lighting Non-Routine Maintenance,217210.42,2012
Personal Budget - Day Care,2246829.58,2014
Inspection & Registration Payments,11900,2014
Alterations To Service - Other,97138.36,2014
Bmf Equipment Inspection/Testing,67024.74,2014
Highway Weed spraying,50135.24,2014
External Redecoration,1483346.9,2011
Under/Over Spend B/Fwd Previous Year,7264,2011
Security Systems,241368.44,2011
Fire Service Radio Equipment - Purchase,66948.34,2012
Short Term Care with Nursing,327811.18,2011
Long Term Residential Care,148739853.139992,2012
Block Subsidy Supporting People,127403.04,2011
Agency Staff - Admin/Chief Officers - Scale K and Above,228374.52,2013
Other Capital,614543.18,2014
Tool Box Training,174.9,2011
Permanent Teachers,21469.46,2011
Highway Drainage Repairs,249938.28,2013
Beverages,92.94,2011
Non Staff Public Transport Costs,20871413.2799999,2013
IT Equipment,5404.12,2011
General Equipment,69164.58,2011
Contract Taxi Hire,101243.08,2011
Book Stationery,6434.52,2011
Highway Drainage Rodding and Jetting,572454.54,2011
Highway Winter Salt Barn Availability Charge under PFI,1033417.08,2012
Agency Staff - Permanent Teachers,52745.14,2011
Certificate - Electricity Power & Light,1369210.44,2013
Cost of Sales,132051.3,2013
Grounds Maintenance Costs,439410.66,2012
Structural Building Work,1098760.8,2012
Delivery/Collection,28966.42,2011
Contributions to NCC Partnerships,101831.72,2011
Gas Appliances & Repairs Test,94872.9,2011
Day Care / Supported Activities,5339574.27999998,2014
Short-term Vehicle Hire,25171.94,2014
Postage & Postal Services,218732.94,2012
Bmf Electrical Installation Testing,367141.98,2013
Wireless-Installation Charges,26240,2011
Recharge Passenger Transport Group - Transport Costs,163112,2012
ICT System Improvements,8854153.92000001,2011
Temporary Staff Admin & Clerical,508626.06,2012
Highway Winter Vehicle Charges,4088,2011
Highway Fencing Repairs,134176,2013
Construction-Eci-Highways Operations Payment System,7000,2012
Special Aptitudes,3763.92,2011
Contact Arrangements,57341.76,2013
Placement Cost - Agency Fee,177142,2012
Protective Clothing and Uniforms,446741.1,2013
Construction - Enabling Works,15127.12,2012
Bmpp Repair & Replacement Of Light,4594.94,2012
Child In Care Residential School 38 Week Out Of Norfolk,47.22,2013
Consultants Fees,34890.48,2013
Recharge Legal Services DSO,61660.4,2011
Partnership Salary Costs,111932,2011
Services of Solicitors Agents,29958.04,2012
Agency Staff - Operational - Manual,1880215.78,2013
Insurance Employer's & Public Liability,-12730,2012
Plant Replacements,502777.18,2012
Internal Recharge Drainage,1023.12,2014
Operational Staff - Scale K and Above,149142.4,2012
Leased Car Hire Costs,168870.8,2011
Contract Grounds Maintenance,4299.44,2011
Insurance Premiums Paid -External,3241298.38,2011
Purchase Of IT,4382122.68,2012
Samples Analysis,40114.4,2011
Community Based Assessments,45889.56,2014
Bmpp Electrical Installation Testing,697480.72,2013
Adaptation/Improvement-Existing Buildings,149474.58,2013
Highway Rechargeable Works Payments,808478.84,2013
Staff Car Parking,26086.66,2011
Voluntary Driver Payments,155305.78,2011
Temporary Protection Of Property,3740.46,2011
Highway Illuminated Signs Energy,697230.74,2011
Vehicle Abuse/Wear & Tear Costs,31818.36,2014
Child In Care Residential Education Only,19952,2011
Traffic Signals and Systems Contracted Maint.,492328.34,2014
Highway Patching to Carriageway and Footway,6300.56,2011
CMW M&E Other,156139.12,2011
Gas (mains supplied),9116.22,2013
Agency Staff - Relief Assistant Warden,101171.62,2013
Discretionary Added Years & Pension Strain Payments,3333.66,2014
Highway Bridge Maintenance,2127774.38,2013
Highway Kerb Footway and Cycleway Repairs,130079.2,2014
Highway Safety Barriers,550447.42,2011
Bus & Rail Passes,3904.2,2011
Direct Payment - One Off Payment To Carers,31374,2013
Child In Care Residential Home In Norfolk,5941137.3,2013
Certificate - Plant Replacement,830808.62,2011
Medical Requisites & Drugs Etc,16380.3,2014
Error Account Code For Schools,1753.92,2012
Purchase Of Major Software,3192.88,2014
Marketing Design Costs,346819.32,2013
Highway Landscape Maintenance,50664.62,2011
Legal Expenses Buildings,10081.52,2011
Foster Care Retainer Pay,124032.6,2013
Education (Schools) Recoupment Payments,618223.52,2014
Non Staff Advertising - Statutory,99897.06,2013
Highway Illuminated Signs Energy,307905.64,2012
Voluntary Driver Payments,281977.98,2012
Court Fees,226751,2013
Child In Care Residential Education Only,341257.5,2012
Laboratory Testing -Pre Works,54696.56,2011
Purchase Of IT,6754634.59999998,2011
Stationery,48044.54,2011
Disturbance Payment,27763.8,2014
Actuarial Fees - Frs17,217209.22,2012
Highway Safety Barriers,445164.84,2012
Contributions To NCC Partnerships & Pooled Funds,12000,2014
Boiler & Heating Repl M&E,770624.94,2014
Bmf Gas Appliances & Repairs Test,9082.8,2012
Principal Paid on Debt Transferred From Other Authorities,354030,2011
Certificate - Plant Replacement,41604.16,2012
CMW M&E Other,67093.18,2012
Construction Costs - Roads - HOPS,362469.34,2014
Highway Surveys A Roads,90430.7,2012
Highway Patching to Carriageway and Footway,6038.68,2012
Bmpp Building Repairs,157086.7,2012
Self Employed Foster Carers,74560,2011
Bmpp Fencing,32619,2013
Agency Staff - Admin & Clerical - Scale A to J,301405.84,2014
Highway Winter Vehicle Charges,13809.94,2012
Temporary Staff Admin & Clerical,309324.86,2011
Building Maintenance & Repairs,1806675.02,2014
Placement Cost - Agency Fee,155666.4,2011
Materials Purchases,5001570.92000001,2013
Bmpp School Equipment Inspection/Test,242910.900000001,2014
Purchase Of Farm Tools & Equipment,1069.2,2011
Highway Structures Maintenance,4475260.74,2013
Construction-Eci-Highways Operations Payment System,2829.46,2011
Gas Appliances & Repairs Test,78250.22,2012
Company Searches,4230,2013
Other Parties Costs,7838.9,2013
ICT System Improvements,13083938.14,2012
Work Experience Expenses,6107.08,2011
Recharge Passenger Transport Group - Transport Costs,20000,2011
Postage & Postal Services,204905.98,2011
Catering Supplies,1960,2014
Operational Staff - Scale K and Above,69227.88,2011
Plant Replacements,1470507.3,2011
Council Tax / Business Rates Payments,11936.68,2013
Mobile Phone Call Charges,17.4,2014
Insurance Premiums Paid -External,3263905.24,2012
Carers Funding,1700,2013
Highway Road Sign Maintenance,46361.3,2014
Construction - Enabling Works,94684,2011
Staff Advertising  Expenses,313408.64,2013
Programme Management,11800,2011
Services of Solicitors Agents,108237.76,2011
Partnership Salary Costs,177050.9,2012
Care Leavers Independent Living Grant,5342,2014
Bmpp Reroofing,111788.92,2013
Supporting Families with Disabilities - Domiciliary Care,90251.96,2014
Personal Budget - Long Term Nursing Care,67156.28,2011
Library Books - Adult Fiction,391275.5,2011
Highway Emergency Cleansing,582.64,2011
Private Vol. Ind. School Pre-School & Playgroup,7279045.26,2014
Direct Payment - Respite Care with Nursing,1200,2012
Bmpp Gas Pressure Testing,15694.3,2013
Purchase Of Domiciliary Care-Misg,0,2011
Compensation & Ex-Gratia Payments,21634,2012
Other Professional Services,1980186.46,2014
Child In Care Residential School 38 Week In Norfolk,107168,2014
Special Guardianship Child In Need,39994.74,2011
Highway Traffic Signals and Systems Outstation Communication Maintenance,433755.02,2012
Grants To Outside Bodies,3262129.18,2011
Cleaning Materials Purchases,51731.58,2013
Foster Carer Allowance Special Purposes,9978,2014
Equipment Inspection/Testing,186.4,2011
External Examinations Fees,62732.16,2014
Highway Visual Road and Footway Condition Survey,2590,2011
Bmpp Plant Replacements,289817.88,2013
Site Invest/Surveys,460189.96,2013
Pension Fund Deficit Payment,834000,2013
Grants,890,2012
Admin & Clerical - Scale A to J,117890.3,2013
Non Staff Advertising - Discretionary,536760.96,2014
Building Alterations & Improvements,711912.9,2011
Construction Cost-Adoption/Improvement Building,30095780.08,2011
Fuel Oil,177675.3,2012
Kinship Care Allowance,3134,2013
Bank Charges,74246,2013
Child In Care Residential School 52 Week In Norfolk,1495162.58,2014
Landfill Leachate Costs,532148.26,2014
Care Leavers-Education/Training,4170.64,2014
Schedule of Rates Vehicle Maintenance,242136.28,2014
Contract Catering-Ex Work,7834.98,2011
Gas Pressure Testing,4221.38,2012
Accommodation Works Land,4580.64,2014
Highway Road Markings,1080291.08,2013
Security System,4879.04,2011
Agency Staff - Panel Funded Staff,1677.54,2013
General Disbursements,87754.54,2012
Housing Related Support-Other Bodies,2451432.7,2014
Witnesses Expenses and Reports,161606.94,2013
Bmpp Ashpalting,10447.5,2012
Non Staff Course Conference & Subsistence Expenses,425050.82,2013
Cost of Licenses & Subscriptions,484833.54,2013
Lecturers Fees & Expenses,3811.2,2011
Software Purchases,14654.04,2011
Counsel's Fees,843083.18,2013
Equipment Repairs Maintenance & Servicing,840549.14,2013
DVD'S,97300.62,2014
Buildings Fixtures & Fittings,42100.82,2014
Engineering Design Fees,1208086.42,2013
Payment to Independent Schools,1454399.74,2011
Teaching Support,111866.92,2012
Equipment Leasing Costs,12978.48,2014
M&E Other (Schools),3107.9,2011
Site Works - Land,18001.98,2014
Bmf Generators & Repairs Arising,7627.1,2012
Section 17 Financial Assistance,56526.16,2013
Management Fees - Performance,1450652.7,2013
Contract Plant & Machinery Hire,3687632.35999997,2011
Awards Or Grants For School Children Students & Learners,206415.74,2012
Staff Medical & Eyesight  Fees,798802.56,2013
Spoken Word Cassettes,140558.06,2011
Highway Gulley Emptying,1883322.26,2011
Welfare/ Learning Support Assistants,29209.5,2013
General Disbursements,85747.6,2011
Child In Care Health Care,18600,2013
ICT Leasing Costs,3956.64,2011
Gas Pressure Testing,100062.56,2011
Contract Plant & Machinery Hire,3321927.64000001,2012
Awards Or Grants For School Children Students & Learners,692569.24,2011
Spoken Word Cassettes,308329.6,2012
Highway Gulley Emptying,1785736.4,2012
Server Management,3433.12,2011
Public Inquiry Costs,482685.86,2013
Operational Equipment - Purchase,19269.94,2011
M&E Other (Schools),2409206.96,2012
Insurance Costs,1168,2013
Teaching Support,249175.1,2011
Site Supervision,34439.16,2014
Accommodation Works Buildings,2740,2011
Equipment For Disabled People,798411.319999999,2011
Highway Traffic Signals and Systems Outstation Communication Maintenance,367201.2,2011
Grants To Outside Bodies,2550275.3,2012
Special Guardianship Child In Need,36622.4,2012
Alterations To Service - Water,71187.52,2014
Agency Staff - Casual Labour,27641.56,2012
Window Cleaning,181.58,2011
Compensation & Ex-Gratia Payments,16893.16,2011
Other Agency Payments,1039003.5,2011
Rents and Hire of Premises & Facilities,2114804.08,2013
Other Vehicles Running Costs,122273.72,2013
Contract Overheads,1540890.5,2014
Water and Sewerage Costs,274739.16,2014
Library Books - Adult Fiction,486950.680000001,2012
Highway Emergency Cleansing,16371.56,2012
Extended Schools Community Running Costs,10662,2011
Grants,3480,2011
Other (Photos Etc),41039.88,2013
Fuel Oil,380055.28,2011
Purchase of Care - Unspecified,26705.54,2013
Building Alterations & Improvements,1206375.8,2012
Quantity Surveying/Structural Engineering Fees,30750,2011
Equipment Inspection/Testing,543.2,2012
Highway Winter Ice Prediction Service Charge,20796,2013
Highway Visual Road and Footway Condition Survey,117176.38,2012
At Installation,920,2011
Removal Of Office Furniture,14476.04,2011
Purchase Of Software Licences,4790,2013
Lifts Maintenance & Repairs,140864.88,2011
Staff Training Costs,823884.14,2014
Construction-Eci-Management,898543.519999999,2011
Support Services,57077,2013
Other Child Care Projects,1012.76,2011
Private Contractor Subsidy Payments,10146243.2,2011
Workshop Equipment,33401.06,2011
Panel Funded Staff,126628.92,2011
Agency Staff - Drivers,68322.28,2012
Private Contractor Catering Payments,2142.2,2013
Bmpp Tank Clean/Water System Disinf,140114.879999999,2014
Care Leavers -Independent Living,1973.76,2011
ICT Other Running Costs,1878594.68,2012
Highway Winter Gritting,83094.26,2012
Bmf Repair & Replacement Of Light,7076.6,2012
Construction Cost-Adaptation/Improvement Building,44514017.92,2011
Architects Fees,11916,2014
Recharge Room Hire,2769.46,2012
Child In Care Residential School 52 Week Out Of Norfolk,3837143.54,2012
Short Term Residential Care,2711554.84,2011
Bmf External Redecoration,48719.78,2012
Certificate - Building Fabric,150129.78,2014
Highway Traffic Signal Replacement,7161.82,2011
"ICT Software Purchases, Licenses & Maintenance",4596341.22,2014
Transport of Students Between Schools,0,2012
Health & Safety At Work Act,895.7,2013
Domiciliary Care,28448350.6600005,2011
Library Books-Adult Non Fiction,8550.16,2014
Bmpp Swimming Pool Maintenance,6782.38,2012
Vehicles Purchases,31101.94,2011
Environmental Health Officer - Kitchen Improvements,13748.44,2012
Residence Order Allowance,21397.78,2011
Services Provided By Landlord,217578.98,2013
Library Books - Electronic Subscriptions,123057,2013
Other Newspaper/Periodicals,28394.14,2014
Construction Costs Lafarge Tarmac,20903307.1,2014
Repayment Of Local Managed School Loan,80521.72,2011
Purchase Of Land,1774501.96,2012
Books and Publications,213730.02,2012
Electricity,2519641.8,2013
Office Equipment & Supplies,1624726.88,2012
Buildings - Internal Redecoration,21605.3,2011
"Non Staff Course, Conference & Subsistence Expenses",21342.2,2013
Foster Parents Payments,4152292.25999996,2013
Project Management Costs,41362.8,2011
Other Travel Expenses,45247.02,2011
Vehicle Insurance,9392.56,2012
Other Support Costs,197051.82,2011
Child In Care Residential Home Out Of Norfolk,9914567.30000001,2012
Legal Fees,67835.44,2012
Internal Trading Units,1488.8,2014
Education Repair & Replacement of Boats,4444.38,2011
Accreditation Scheme Payments,7773027.4,2013
Highway Traffic Signals and Systems Non-Planned Maintenance,78532.58,2013
Purchase Of Land,1666529.98,2011
Free Nursing Care  - High Band,29156.16,2014
Domiciliary Care,30053071.3400004,2012
Purchase Catering Equipment,51768.18,2011
Bmf Building Work,564312.92,2013
Alterations To Service - Telecom,293613.12,2013
Interpreters,12000,2013
Environmental Health Officer - Kitchen Improvements,49765.8,2011
Residence Order Allowance,41898.96,2012
Vehicles Purchases,147066.14,2012
Vehicle Insurance,-5771.06,2011
Other Travel Expenses,16920.08,2012
Buildings - External Redecoration,2992,2014
Escorts (Home to School Transport),5017.6,2014
Child In Care Residential Home Out Of Norfolk,6080076.43999999,2011
Linen & Laundry,11588.7,2013
"Awards Or Grants For School Children, Students & Learners",144560,2014
Other Support Costs,506635.06,2012
Furniture Purchases,128349.9,2014
Office Equipment & Supplies,290245.72,2011
Personal Budget - Domiciliary Care,2310939.52,2014
Books and Publications,561066.78,2011
Free Nursing Care,562831.039999999,2013
Construction Costs -Roads - ECI - May Gurney,1088282.74,2012
Recharge - Staff Car Park,1080,2011
Buildings - Internal Redecoration,122431.04,2012
Purchase Of Vehicles over 20K,2832599.88,2013
Recharge Events,1600,2014
Assistant Part Time Youth Leader-Other,16035,2011
Staff Public Transport Costs,400808.66,2014
Examining Body Costs,1552,2011
Bmf Security Systems,101614.7,2014
Highway Patching to Footway,407193.32,2014
Lifts Maintenance & Repairs,117352.28,2012
NPS Feasibility Study,12306.94,2011
Vehicle Repair Costs,230429.04,2013
Panel Funded Staff,2431.96,2012
Agency Staff - Drivers,82491.18,2011
Personal Budget - Respite Residential Care,641647.1,2013
Private Contractor Subsidy Payments,7133998.72000001,2012
Highway Pothole Repairs,248250.5,2013
Bmf Minor Building Repairs,26160.26,2012
Highway Surveys C Roads,109646.28,2012
Grants To Businesses,577938.18,2014
Fire Service Radio Equipment - Running Costs,374238.5,2013
Admin/ Chief Officers - Scale K and Above,33418.04,2013
Fire Prevention Equipment,5790,2011
ICT Equipment Purchases,4565199.42,2014
Child In Care Residential School 52 Week Out Of Norfolk,4804082.18,2011
Construction Cost-Adaptation/Improvement Building,54538234.1600001,2012
Highway Traffic Signals and Systems Planned and Contracted Maintenance,832153.6,2013
Bmf Internal Redecoration,7967,2014
ICT Other Running Costs,947619.06,2011
CONSTR COSTS - M&E OTHER,662985.84,2013
Highway Winter Gritting,500458.92,2011
Staff Excess Travel Expenses,5492.82,2011
Breathing Apparatus,52132.78,2011
Graphics,31978,2011
Short Term Residential Care,2852224.51999999,2012
Other Newspaper/Periodicals,66092.52,2012
Internal Trading Units,281342,2011
"Broadband, Virtual Private Network & Leased Lines",20882.98,2013
Training Centre Courses,26807.8,2011
Purchase Of Furniture,689869.9,2013
Direct Payments - Short Term Break,16782.72,2013
Purchase Of Land,923000,2014
Operational - Manual,378258.38,2012
Leaving Care Act Allowance / Personal Support,1079.26,2011
Library Books-Adult Non Fiction,714366.28,2012
Highway Road Cleansing,26302.64,2012
Support Staff Overtime,9759.92,2013
Bmpp Swimming Pool Maintenance,8497.02,2014
Members Conference Expenses-Other,2840,2013
Free Nursing Care  - High Band,55565.8000000001,2011
Buildings - External Redecoration,6338,2011
Vehicle Insurance,7411.54,2014
Furniture Purchases,67889.74,2011
Child In Care Residential Home Out Of Norfolk,5299596.08,2014
Escorts (Home to School Transport),33221.4,2011
Books and Publications,168295.32,2014
Highway Street Lighting Energy,4414952.32,2013
Personal Budget - Domiciliary Care,615147.34,2011
Office Equipment & Supplies,179635,2014
Bmf Building Repairs,391293.06,2013
Direct Payment - Respite Residential Care,11080,2011
Bmpp Tank Clean/Water System Disinf,97991.9400000002,2012
Generators & Repairs Arising,14951.34,2011
Staff Public Transport Costs,238084.220000001,2011
Homelessness Support Child In Need,41360.68,2013
Recharge Office Accommodation,24811.34,2012
Care Leavers Rent & Accommodation,1548780.4,2013
Highway Patching to Footway,1385781.38,2011
Staff Training Costs,1000653.76,2012
Highway Illuminated Sign Non-Routine Maintenance,85362,2013
Alterations To Service - Gas,179200,2011
"Certificate - Electricity, Power & Light",40310.12,2013
Electrical Installation Testing,822754.5,2012
Purchase Of Books,24055.5,2013
Estate / Site Management Costs,2584771.94,2013
Consultancy,260322.82,2011
Phone - Calls,15.22,2012
Bmpp Swimming Pool Plant,29053.6,2013
ICT Other Running Costs,4638305.04,2014
Highway Winter Gritting,93339.12,2014
Bmf Repair & Replacement Of Light,78441.1,2014
Agency,158586.66,2011
Architects Fees,1115128.58,2012
Child In Care Residential School 52 Week Out Of Norfolk,1097279.62,2014
ICT Equipment Purchases,11690676.68,2011
Repairs Of Fixtures & Fittings,2923.86,2011
Bmf External Redecoration,36125.98,2014
Certificate - Building Fabric,877329.96,2012
Staff Training Costs,1787635.74,2011
Contract Transport  Hire,48407809.3200001,2013
Bmf Security Systems,42016.2,2012
Highway Patching to Footway,1466534.9,2012
Recharge Office Accommodation,7827.8,2011
Bmpp Fire Alarms,214444.84,2013
Highway Winter Salt Usage,3082332.48,2013
Electrical Installation Testing,638785.080000002,2011
Alterations To Service - Gas,968200,2012
Private Contractor Subsidy Payments,4955382.29999999,2014
Bmpp Gas Appliances & Repairs Test,119573.1,2013
Agency Staff - Operational Hay & M,548856.92,2013
Illustration,1577.44,2011
Staff Public Transport Costs,414340.519999999,2012
Generators & Repairs Arising,59307.12,2012
Alterations To Service - Electricity,76112.58,2013
ICT Equipment Purchases,7798777.19999999,2012
Construction Cost-Adaptation/Improvement Building,24234824.3,2014
Architects Fees,16062541.18,2011
Bmpp Lifts Maintenance & Repairs,8591.12,2012
Laboratory Testing-Works Related,21325.02,2011
Bmf Internal Redecoration,20582,2012
Agency,53698.08,2012
Certificate - Building Fabric,790383.04,2011
Short Term Residential Care,3075732.10000001,2014
Phone - Calls,7183.4,2011
Bmf Minor Building Repairs,110119.58,2014
Car Allowance-Essential Users,414.2,2011
Customer Research & Insight,20954,2013
Official Legislation Documents,6805,2011
Audit Fees - Accounts,4000,2013
Free Nursing Care  - High Band,1795.2,2012
Internal Recharge Other Appointed Costs,2625.2,2013
Domiciliary Care,32690995.56,2014
Library Books-Adult Non Fiction,497125.54,2011
Highway Road Cleansing,24569.56,2011
Residence Order Allowance,3567.44,2014
Vehicles Purchases,42500,2014
Legal Fees,92152.98,2014
Additional Furniture & Equipment,115622.06,2013
Internal Trading Units,4000,2012
Case Reviews,10341.3,2011
Other Newspaper/Periodicals,11229.42,2011
Operational - Manual,333154.12,2011
Archaeological Excavation,14298.36,2011
Swimming & Games Facilities,174802.02,2013
Personal Budget - Domiciliary Care,2409724.28,2012
Long Term Care with Nursing,25599096.779997,2013
Bmf Gas Pressure Testing,202.3,2014
Construction Costs -Roads - ECI - May Gurney,159684.5,2014
Buildings - Internal Redecoration,17725,2014
Discretionary Added Years Including Pension Increase Lump Sum,4231.24,2011
On-Line Bank Charges,55717.5,2013
Buildings - External Redecoration,1200,2012
Escorts (Home to School Transport),21684.98,2012
Agency Staff - Operational APT&C,4165268.66000002,2013
Default,2000,2013
Complaints Procedures,6000,2011
Furniture Purchases,271325.9,2012
Other Support Costs,1540,2014
General Disbursements,104873.76,2014
Fees/Expenses Other Consultants,135163.76,2011
"Equipment Repairs, Maintenance & Servicing",283796.96,2014
Tree Planting/Landscaping,840,2012
Bmpp Ashpalting,24243.8,2014
Pest Control,3600,2011
Supply Teachers,23992.68,2013
Housing Related Support-Other Bodies,526344.44,2012
Internal Recharge Pot Holes,324.18,2011
Fire Service Feeding At Fires,14451.38,2013
Mgt Fees - Gen,1370,2013
Bmpp Structural Builidng Work,167357.88,2013
Child In Care Residential School 52 Week In Norfolk,4078338.16,2012
Landfill Leachate Costs,602820.92,2012
Care Leavers-Education/Training,8291.06,2012
Schedule of Rates Vehicle Maintenance,1448113.38,2012
Internal Recharge Signs Non-Illuminated,1240,2014
Site Works - Land,13102.92,2012
Vehicle Fuel,848078.960000001,2013
Bmf Generators & Repairs Arising,30972.34,2014
Highway Winter Snow Clearing,74709.4,2013
DVD'S,219542.24,2012
Buildings Fixtures & Fittings,329969.46,2012
Printing Stationery and Photocopying,1764944.36,2011
Transfer of Government Grant,24003.84,2011
Professional Fees Building Maintenance,1190391.14,2011
Providing Financial Assistance to Service Users,20650.7,2013
Accommodation Works Buildings,494797.32,2014
Direct Payment - Day Care Services / Supported Activities,15291.22,2013
Equipment Leasing Costs,54383.34,2012
Priority Routes 1 & 2 Standby (Morning),26750,2011
Teaching Support,40298.5,2014
Site Supervision,1320,2011
Compact Discs,37784.9,2013
Consultants Fees - Environmental,1023.36,2011
Wireless - General,29600,2011
Swimming Pool Plant,25878.38,2011
Canon Hygiene Service Contract,3060.7,2011
Hospital Purchase of Independent Residential Care-Special Transitional Grant,13832,2011
Compensation & Ex-Gratia Payments,22765.6,2014
Other Professional Services,2039003.14,2012
Child In Care Residential School 38 Week In Norfolk,-27571.46,2012
Cost of Educational Visits and Games,18030.4,2013
Highway Traffic Signals and Systems Outstation Communication Maintenance,18718.46,2014
Fees & Charges,5094293.87999999,2013
New Fund Mngr Selection,46624.96,2013
Care Leavers Independent Living Grant,10592.32,2012
Contract Overheads,2052957.28,2011
Police Invoices - Norfolk Camera Road Partnership,456355.92,2011
Supporting Families with Disabilities - Domiciliary Care,178396.24,2012
Equipment Purchases For Service Users,3020294.86,2013
RCHG Vehicles Hired from a Central Pool,7811.12,2013
Legionella Improve,27726.0599999999,2011
Water and Sewerage Costs,45250.7,2011
Traffic Signals and Systems Upgrade Works,37645.56,2014
Adoption Allowance Payments,261690.84,2013
Broadband Virtual Private Network & Leased Lines,306177.2,2011
Work In Progress,2343.06,2013
Non Staff Advertising - Discretionary,897872.92,2012
Vandalism Under 500,20137.9,2011
Fuel Oil,95179.28,2014
Actuarial Fees - Gen,209400,2013
Foster Carer Allowance Special Purposes,28735.48,2012
Management & Consultancy Training,6500,2011
External Examinations Fees,58203.6,2012
Agency Staff - Support Staff - Manual,47100.28,2011
Portable Electric Appliance Testing,1578.6,2012
ICT Software Purchases Licenses & Maintenance,5618043.74,2013
Supporting Families with Disabilities - Domiciliary Care,16636.58,2011
Contract Overheads,3197682.62,2012
Care Leavers Independent Living Grant,10223.98,2011
Water and Sewerage Costs,26934.9,2012
Children At Home On Care Orders,2200,2013
Library Books - Adult Fiction,104305.84,2014
Highway Emergency Cleansing,14875.52,2014
Grants To Other Public Bodies,214880.78,2014
Adaptations,274141.2,2011
Swimming Pool Plant,45825.26,2012
Bmpp Electrical & Mechanical Maintenance,251965.1,2013
Consultants Fees - Environmental,5563.2,2012
Refund Of Contributions,23910.4,2013
Grants To Outside Bodies,9161014,2014
Special Guardianship Child In Need,179524.2,2014
Other Professional Services,5802867.08,2011
Alterations To Service - Water,6000,2012
Child In Care Residential School 38 Week In Norfolk,0,2011
Bmf Reroofing,344972.54,2013
Foster Carer Allowance Special Purposes,56442.02,2011
Highway Visual Road and Footway Condition Survey,7735,2014
Portable Electric Appliance Testing,4167,2011
External Examinations Fees,45567.2,2011
Bmf Swimming Pool Maintenance,403.88,2012
Highway Traffic Signals and Systems Energy,342008.72,2013
Newspaper Filming,18154.06,2013
Broadband Virtual Private Network & Leased Lines,1622155.2,2012
Child In Care Education Costs,16481.4,2013
Cleaner/Domestic,5125.14,2011
School Transport Volunteers,2091.44,2011
Non Staff Advertising - Discretionary,528228.54,2011
Building Alterations & Improvements,142619.54,2014
Child In Care Residential School 52 Week In Norfolk,1470814.16,2011
Schedule of Rates Vehicle Maintenance,980352.140000001,2011
Compulsory Purchase Order Inquiry Costs,3132.2,2013
